,0,1,2,3
,都道府県名,陽性者数,検査人数,%
,北海道 ,1809,45969,3.9
,青 森 ,35,2104,1.7
,岩手 ,22,3307,0.7
,宮城 ,226,8111,2.8
,秋 田 ,50,1816,2.8
,山形 ,78,3123,2.5
,福島 ,173,15569,1.1
,茨城 ,567,11063,5.1
,栃木 ,309,23568,1.3
,群馬 ,471,15322,3.1
,埼玉 ,4079,114213,3.6
,千葉 ,3160,58263,5.4
,東京 ,21475,344966,6.2
,神奈川 ,5285,120662,4.4
,新潟 ,145,13153,1.1
,富山 ,401,9850,4.1
,石川 ,681,9173,7.4
,福井 ,241,8577,2.8
,山梨 ,174,9693,1.8
,長野 ,284,15619,1.8
,岐阜 ,564,18722,3.0
,静岡 ,487,26858,1.8
,愛知 ,4604,56596,8.1
,三重 ,388,10081,3.8
,滋賀 ,459,9588,4.8
,京都 ,1512,32853,4.6
,大阪 ,8900,142305,6.3
,兵庫 ,2322,46127,5.0
,奈良 ,531,15262,3.5
,和歌山 ,231,8730,2.6
,鳥取 ,22,4575,0.5
,島根 ,137,4949,2.8
,岡山 ,146,7049,2.1
,広島 ,459,18176,2.5
,山口 ,178,7153,2.5
,徳島 ,145,6190,2.3
,香川 ,82,8602,1.0
,愛媛 ,114,3855,3.0
,高知 ,130,3174,4.1
,福岡 ,4755,42536,11.2
,佐賀 ,239,5259,4.5
,長崎 ,234,15279,1.5
,熊本 ,537,11869,4.5
,大分 ,153,13261,1.2
,宮崎 ,338,8161,4.1
,鹿児島 ,370,16322,2.3
,沖縄 ,2200,25134,8.8
,(その他)※3 ,149,0,-
,合計 ,70051,1402787,5.0
