,全国 ,355,blank
0,北海道,89,
1,宮城県,1 名,
2,秋田県,1 名,
3,栃木県,2 名,
4,埼玉県,4 名,
5,千葉県,16,
6,東京都,55,
7,神奈川県,31,
8,新潟県,5 名,
9,石川県,4 名,
10,山梨県,1 名,
11,長野県,2 名,
12,岐阜県,2 名,
13,静岡県,1 名,
14,愛知県,61,
15,三重県,1 名,
16,滋賀県,1 名,
17,京都府,7 名,
18,大阪府,26,
19,兵庫県,7 名,
20,奈良県,2 名,
21,和歌山県,12,
22,山口県,1 名,
23,愛媛県,1 名,
24,高知県,9 名,
,福岡県,3 名,
,熊本県,5 名,
,大分県,1 名,
,宮崎県,1 名,
,沖縄県,3 名,
