pref,Positive,Tested,Percent
北海道,1361,25699.0,5.3
青森県,31,1317.0,2.35
岩手県,0,1290.0,0.0
宮城県,136,5288.0,2.57
秋田県,16,1054.0,1.52
山形県,75,2832.0,2.65
福島県,85,8752.0,0.97
茨城県,235,6442.0,3.65
栃木県,139,11552.0,1.2
群馬県,174,7184.0,2.42
埼玉県,1891,55580.0,3.4
千葉県,1333,24141.0,5.52
東京都,10054,151630.0,6.63
神奈川県,2107,16219.0,12.99
新潟県,92,5858.0,1.57
富山県,234,4874.0,4.8
石川県,306,3030.0,10.1
福井県,126,4351.0,2.9
山梨県,80,6681.0,1.2
長野県,86,5467.0,1.57
岐阜県,200,7897.0,2.53
静岡県,119,10472.0,1.14
愛知県,714,16828.0,4.24
三重県,58,3383.0,1.71
滋賀県,128,3449.0,3.71
京都府,586,14909.0,3.93
大阪府,2662,57990.0,4.59
兵庫県,853,20016.0,4.26
奈良県,171,7978.0,2.14
和歌山県,100,5210.0,1.92
鳥取県,5,2255.0,0.22
島根県,26,2033.0,1.28
岡山県,44,2459.0,1.79
広島県,220,9665.0,2.28
山口県,43,3375.0,1.27
徳島県,10,1470.0,0.68
香川県,44,4149.0,1.06
愛媛県,83,2757.0,3.01
高知県,77,2148.0,3.58
福岡県,1113,19892.0,5.6
佐賀県,55,1836.0,3.0
長崎県,47,5241.0,0.9
熊本県,52,4607.0,1.13
大分県,60,5913.0,1.01
宮崎県,20,1868.0,1.07
鹿児島県,172,8314.0,2.07
沖縄県,157,3830.0,4.1
