pref,Positive,Tested,Percent
滋賀県,471,10587.0,4.45
京都府,1607,35638.0,4.51
大阪府,9604,158258.0,6.07
兵庫県,2455,49506.0,4.96
奈良県,545,18233.0,2.99
和歌山県,236,8910.0,2.65
鳥取県,31,4656.0,0.67
島根県,137,5200.0,2.63
岡山県,146,7511.0,1.94
広島県,466,18642.0,2.5
山口県,194,8127.0,2.39
徳島県,147,6619.0,2.22
香川県,89,9296.0,0.96
愛媛県,114,3921.0,2.91
高知県,137,3315.0,4.13
福岡県,4932,44529.0,11.08
佐賀県,244,5517.0,4.42
長崎県,235,16363.0,1.44
熊本県,569,13039.0,4.36
大分県,158,14507.0,1.09
宮崎県,342,8279.0,4.13
鹿児島県,372,17075.0,2.18
沖縄県,2290,27827.0,8.23
北海道,1873,49584.0,3.78
青森県,35,2206.0,1.59
岩手県,23,3610.0,0.64
宮城県,302,8871.0,3.4
秋田県,50,1855.0,2.7
山形県,78,3151.0,2.48
福島県,208,17039.0,1.22
茨城県,612,11550.0,5.3
栃木県,338,25806.0,1.31
群馬県,547,17333.0,3.16
埼玉県,4286,123464.0,3.47
千葉県,3405,66682.0,5.11
東京都,23003,380646.0,6.04
神奈川県,5944,128296.0,4.63
新潟県,149,13851.0,1.08
富山県,408,10832.0,3.77
石川県,730,10742.0,6.8
福井県,244,9229.0,2.64
山梨県,179,9977.0,1.79
長野県,296,17030.0,1.74
岐阜県,592,19908.0,2.97
静岡県,504,29710.0,1.7
愛知県,4864,62277.0,7.81
三重県,457,11211.0,4.08
