pref,Positive,Tested,Percent
北海道,2612,72274.0,3.61
青森県,148,3511.0,4.22
岩手県,26,5037.0,0.52
宮城県,544,12635.0,4.31
秋田県,61,2414.0,2.53
山形県,82,5700.0,1.44
福島県,378,26480.0,1.43
茨城県,735,13508.0,5.44
栃木県,473,34937.0,1.35
群馬県,820,27239.0,3.01
埼玉県,5521,172103.0,3.21
千葉県,4680,117935.0,3.97
東京都,29520,559296.0,5.28
神奈川県,8155,185105.0,4.41
新潟県,180,17179.0,1.05
富山県,422,14206.0,2.97
石川県,796,15845.0,5.02
福井県,256,10735.0,2.38
山梨県,202,11338.0,1.78
長野県,329,21738.0,1.51
岐阜県,660,25543.0,2.58
静岡県,585,40487.0,1.44
愛知県,5749,91971.0,6.25
三重県,551,15019.0,3.67
滋賀県,533,13541.0,3.94
京都府,1945,50131.0,3.88
大阪府,11780,219789.0,5.36
兵庫県,3040,64967.0,4.68
奈良県,621,23684.0,2.62
和歌山県,266,10071.0,2.64
鳥取県,35,5569.0,0.63
島根県,140,6075.0,2.3
岡山県,188,8654.0,2.17
広島県,651,26448.0,2.46
山口県,211,11288.0,1.87
徳島県,164,7324.0,2.24
香川県,100,12840.0,0.78
愛媛県,116,4284.0,2.71
高知県,140,3594.0,3.9
福岡県,5160,155416.0,3.32
佐賀県,253,6820.0,3.71
長崎県,242,21285.0,1.14
熊本県,759,18753.0,4.05
大分県,159,19788.0,0.8
宮崎県,366,8736.0,4.19
鹿児島県,463,21644.0,2.14
沖縄県,3048,49742.0,6.13
