pref,Positive,Tested,Percent
北海道,1192,18834.0,6.33
青森県,27,941.0,2.87
岩手県,0,837.0,0.0
宮城県,89,3422.0,2.6
秋田県,16,979.0,1.63
山形県,69,2498.0,2.76
福島県,82,6076.0,1.35
茨城県,170,5125.0,3.32
栃木県,66,6095.0,1.08
群馬県,151,4594.0,3.29
埼玉県,1031,29928.0,3.44
千葉県,924,17122.0,5.4
東京都,5748,65496.0,8.78
神奈川県,1428,11826.0,12.08
新潟県,84,4711.0,1.78
富山県,227,3787.0,5.99
石川県,299,2863.0,10.44
福井県,122,3202.0,3.81
山梨県,72,5175.0,1.39
長野県,77,3105.0,2.48
岐阜県,156,4698.0,3.32
静岡県,80,3749.0,2.13
愛知県,521,11750.0,4.43
三重県,46,2705.0,1.7
滋賀県,101,2212.0,4.57
京都府,363,9418.0,3.85
大阪府,1806,37550.0,4.81
兵庫県,700,13886.0,5.04
奈良県,92,3491.0,2.64
和歌山県,63,3891.0,1.62
鳥取県,3,1445.0,0.21
島根県,24,1210.0,1.98
岡山県,25,1863.0,1.34
広島県,168,7568.0,2.22
山口県,37,2051.0,1.8
徳島県,5,844.0,0.59
香川県,28,2511.0,1.12
愛媛県,82,2558.0,3.21
高知県,74,1919.0,3.86
福岡県,838,15427.0,5.43
佐賀県,47,1592.0,2.95
長崎県,17,3104.0,0.55
熊本県,48,4164.0,1.15
大分県,60,4583.0,1.31
宮崎県,17,1509.0,1.13
鹿児島県,11,2423.0,0.45
沖縄県,142,2986.0,4.76
