pref,Positive,Tested,Percent
北海道,1565,34080.0,4.59
青森県,32,1580.0,2.03
岩手県,7,1943.0,0.36
宮城県,182,6821.0,2.67
秋田県,35,1415.0,2.47
山形県,76,2983.0,2.55
福島県,98,11156.0,0.88
茨城県,406,8687.0,4.67
栃木県,249,16771.0,1.48
群馬県,238,9521.0,2.5
埼玉県,2956,82420.0,3.59
千葉県,2224,33780.0,6.58
東京都,16252,234452.0,6.93
神奈川県,3305,42717.0,7.74
新潟県,128,7533.0,1.7
富山県,293,6132.0,4.78
石川県,390,3645.0,10.7
福井県,154,5611.0,2.74
山梨県,132,8237.0,1.6
⾧野県,134,9824.0,1.36
岐阜県,475,13702.0,3.47
静岡県,376,17350.0,2.17
愛知県,3239,34011.0,9.52
三重県,249,6647.0,3.75
滋賀県,302,6044.0,5.0
京都府,991,22576.0,4.39
大阪府,5994,93689.0,6.4
兵庫県,1662,32588.0,5.1
奈良県,339,15767.0,2.15
和歌山県,184,7034.0,2.62
鳥取県,21,4172.0,0.5
島根県,126,3416.0,3.69
岡山県,115,3549.0,3.24
広島県,415,15001.0,2.77
山口県,78,4706.0,1.66
徳島県,61,3201.0,1.91
香川県,60,5870.0,1.02
愛媛県,107,3279.0,3.26
高知県,83,2397.0,3.46
福岡県,3084,31817.0,9.69
佐賀県,162,3521.0,4.6
⾧崎県,170,9649.0,1.76
熊本県,361,8234.0,4.38
大分県,93,8036.0,1.16
宮崎県,241,6425.0,3.75
鹿児島県,277,12339.0,2.24
沖縄県,1242,15721.0,7.9
