pref,Positive,Tested,Percent
北海道,1489,31006.0,4.8
青森県,32,1503.0,2.13
岩手県,4,1729.0,0.23
宮城県,176,6262.0,2.81
秋田県,18,1189.0,1.51
山形県,76,2941.0,2.58
福島県,91,10434.0,0.87
茨城県,344,7763.0,4.43
栃木県,207,14660.0,1.41
群馬県,202,8754.0,2.31
埼玉県,2623,73486.0,3.57
千葉県,1920,30220.0,6.35
東京都,14285,210202.0,6.8
神奈川県,2833,38641.0,7.33
新潟県,120,6936.0,1.73
富山県,261,5713.0,4.57
石川県,324,3349.0,9.67
福井県,149,5205.0,2.86
山梨県,109,7568.0,1.44
長野県,125,8679.0,1.44
岐阜県,400,11963.0,3.34
静岡県,328,15096.0,2.17
愛知県,2388,27736.0,8.61
三重県,155,5082.0,3.05
滋賀県,236,4841.0,4.88
京都府,876,20163.0,4.34
大阪府,4916,82268.0,5.98
兵庫県,1371,28848.0,4.75
奈良県,286,9920.0,2.88
和歌山県,173,6619.0,2.61
鳥取県,19,3817.0,0.5
島根県,29,3014.0,0.96
岡山県,101,3226.0,3.13
広島県,376,13587.0,2.77
山口県,60,4166.0,1.44
徳島県,43,2300.0,1.87
香川県,46,4941.0,0.93
愛媛県,100,3150.0,3.17
高知県,82,2328.0,3.52
福岡県,2269,26900.0,8.43
佐賀県,121,2822.0,4.29
長崎県,140,8143.0,1.72
熊本県,322,6845.0,4.7
大分県,74,7443.0,0.99
宮崎県,187,5633.0,3.32
鹿児島県,262,11306.0,2.32
沖縄県,714,10548.0,6.77
