pref,Positive,Tested,Percent
北海道,5055,103685.0,4.88
青森県,278,6145.0,4.52
岩手県,64,6072.0,1.05
宮城県,973,16120.0,6.04
秋田県,71,2695.0,2.63
山形県,96,6994.0,1.37
福島県,431,34974.0,1.23
茨城県,946,14703.0,6.43
栃木県,513,47989.0,1.07
群馬県,951,32830.0,2.9
埼玉県,6741,206725.0,3.26
千葉県,5721,142896.0,4.0
東京都,34496,664117.0,5.19
神奈川県,10042,220848.0,4.55
新潟県,224,19616.0,1.14
富山県,425,15642.0,2.72
石川県,828,19693.0,4.2
福井県,272,12229.0,2.22
山梨県,275,12472.0,2.2
長野県,448,25663.0,1.75
岐阜県,800,29255.0,2.73
静岡県,822,48055.0,1.71
愛知県,7447,113664.0,6.55
三重県,616,17127.0,3.6
滋賀県,655,14966.0,4.38
京都府,2222,55975.0,3.97
大阪府,15155,269000.0,5.63
兵庫県,3816,76513.0,4.99
奈良県,835,27245.0,3.06
和歌山県,318,11045.0,2.88
鳥取県,52,6090.0,0.85
島根県,141,6354.0,2.22
岡山県,379,14762.0,2.57
広島県,688,29759.0,2.31
山口県,258,12510.0,2.06
徳島県,171,7654.0,2.23
香川県,114,14893.0,0.77
愛媛県,123,4583.0,2.68
高知県,144,3688.0,3.9
福岡県,5367,179430.0,2.99
佐賀県,278,8030.0,3.46
長崎県,249,24525.0,1.02
熊本県,903,21470.0,4.21
大分県,164,23066.0,0.71
宮崎県,373,8829.0,4.22
鹿児島県,542,24653.0,2.2
沖縄県,3696,65248.0,5.66
