pref,Positive,Tested,Percent
滋賀県,100,1967.0,5.08
京都府,358,8435.0,4.24
大阪府,1784,33273.0,5.36
兵庫県,699,11560.0,6.05
奈良県,92,2898.0,3.17
和歌山県,63,3787.0,1.66
鳥取県,3,1392.0,0.22
島根県,24,1166.0,2.06
岡山県,25,1771.0,1.41
広島県,168,7136.0,2.35
山口県,37,1845.0,2.01
徳島県,5,778.0,0.64
香川県,28,2283.0,1.23
愛媛県,82,2389.0,3.43
高知県,74,1845.0,4.01
福岡県,799,14242.0,5.61
佐賀県,47,1483.0,3.17
長崎県,17,2920.0,0.58
熊本県,48,4028.0,1.19
大分県,60,4217.0,1.42
宮崎県,17,1414.0,1.2
鹿児島県,10,1998.0,0.5
沖縄県,142,2908.0,4.88
北海道,1117,15713.0,7.11
青森県,27,882.0,3.06
岩手県,0,705.0,0.0
宮城県,88,3086.0,2.85
秋田県,16,942.0,1.7
山形県,69,2452.0,2.81
福島県,81,5004.0,1.62
茨城県,168,4772.0,3.52
栃木県,66,4840.0,1.36
群馬県,151,3942.0,3.83
埼玉県,1007,23291.0,4.32
千葉県,907,15494.0,5.85
東京都,5383,15681.0,34.33
神奈川県,1387,10327.0,13.43
新潟県,83,4334.0,1.92
富山県,227,3482.0,6.52
石川県,299,2791.0,10.71
福井県,122,2839.0,4.3
山梨県,65,4259.0,1.53
長野県,76,2865.0,2.65
岐阜県,151,3886.0,3.89
静岡県,75,3612.0,2.08
愛知県,509,10467.0,4.86
三重県,45,2561.0,1.76
