pref,Positive,Tested,Percent
滋賀県,625,14966.0,4.18
京都府,2174,55334.0,3.93
大阪府,14120,257164.0,5.49
兵庫県,3538,73509.0,4.81
奈良県,754,26411.0,2.85
和歌山県,291,10767.0,2.7
鳥取県,51,6013.0,0.85
島根県,141,6281.0,2.24
岡山県,341,11198.0,3.05
広島県,678,29061.0,2.33
山口県,231,11960.0,1.93
徳島県,170,7603.0,2.24
香川県,107,14353.0,0.75
愛媛県,117,4468.0,2.62
高知県,144,3680.0,3.91
福岡県,5307,173880.0,3.05
佐賀県,274,7808.0,3.51
長崎県,249,23873.0,1.04
熊本県,860,21086.0,4.08
大分県,161,22162.0,0.73
宮崎県,373,8828.0,4.23
鹿児島県,537,24022.0,2.24
沖縄県,3561,61958.0,5.75
北海道,4221,94853.0,4.45
青森県,274,6004.0,4.56
岩手県,30,5725.0,0.52
宮城県,872,15374.0,5.67
秋田県,68,2667.0,2.55
山形県,89,6831.0,1.3
福島県,418,33183.0,1.26
茨城県,834,14373.0,5.8
栃木県,503,46544.0,1.08
群馬県,932,30881.0,3.02
埼玉県,6363,199115.0,3.2
千葉県,5434,137000.0,3.97
東京都,33060,641107.0,5.16
神奈川県,9474,214729.0,4.41
新潟県,200,18628.0,1.07
富山県,425,15366.0,2.77
石川県,824,18907.0,4.36
福井県,266,11730.0,2.27
山梨県,243,12161.0,2.0
長野県,387,24812.0,1.56
岐阜県,755,28212.0,2.68
静岡県,772,46257.0,1.67
愛知県,6869,109029.0,6.3
三重県,599,16342.0,3.67
