pref,Positive,Tested,Percent
北海道,1296,23539.0,5.51
青森県,29,1104.0,2.63
岩手県,0,1152.0,0.0
宮城県,108,4652.0,2.32
秋田県,16,1018.0,1.57
山形県,73,2659.0,2.75
福島県,84,8027.0,1.05
茨城県,204,5854.0,3.48
栃木県,98,9645.0,1.02
群馬県,156,5884.0,2.65
埼玉県,1530,46737.0,3.27
千葉県,1162,21193.0,5.48
東京都,8189,121821.0,6.72
神奈川県,1786,14495.0,12.32
新潟県,87,5365.0,1.62
富山県,230,4319.0,5.33
石川県,300,2964.0,10.12
福井県,124,3726.0,3.33
山梨県,76,6289.0,1.21
長野県,79,4640.0,1.7
岐阜県,165,5934.0,2.78
静岡県,96,9063.0,1.06
愛知県,532,14487.0,3.67
三重県,50,3107.0,1.61
滋賀県,106,2847.0,3.72
京都府,456,12393.0,3.68
大阪府,2045,47608.0,4.3
兵庫県,739,17192.0,4.3
奈良県,126,4383.0,2.87
和歌山県,84,4578.0,1.83
鳥取県,5,2108.0,0.24
島根県,24,1291.0,1.86
岡山県,28,2056.0,1.36
広島県,182,8477.0,2.15
山口県,37,2739.0,1.35
徳島県,10,1227.0,0.81
香川県,30,3045.0,0.99
愛媛県,82,2682.0,3.06
高知県,75,2028.0,3.7
福岡県,924,18126.0,5.1
佐賀県,47,1725.0,2.72
長崎県,30,4151.0,0.72
熊本県,49,4465.0,1.1
大分県,60,5457.0,1.1
宮崎県,20,1716.0,1.17
鹿児島県,155,7150.0,2.17
沖縄県,148,3326.0,4.45
