pref,Positive,Tested,Percent
滋賀県,103,2379.0,4.33
京都府,381,10346.0,3.68
大阪府,1843,41251.0,4.47
兵庫県,706,14947.0,4.72
奈良県,92,3943.0,2.33
和歌山県,64,4005.0,1.6
鳥取県,3,1489.0,0.2
島根県,24,1247.0,1.92
岡山県,26,1943.0,1.34
広島県,169,7824.0,2.16
山口県,37,2342.0,1.58
徳島県,6,925.0,0.65
香川県,28,2754.0,1.02
愛媛県,82,2617.0,3.13
高知県,74,1977.0,3.74
福岡県,850,16607.0,5.12
佐賀県,47,1625.0,2.89
⾧崎県,17,3265.0,0.52
熊本県,49,4287.0,1.14
大分県,60,4930.0,1.22
宮崎県,17,1578.0,1.08
鹿児島県,12,2611.0,0.46
沖縄県,142,3023.0,4.7
北海道,1263,20920.0,6.04
青森県,27,991.0,2.72
岩手県,0,981.0,0.0
宮城県,94,3826.0,2.46
秋田県,16,997.0,1.6
山形県,69,2544.0,2.71
福島県,82,6896.0,1.19
茨城県,174,5325.0,3.27
栃木県,79,7288.0,1.08
群馬県,153,5112.0,2.99
埼玉県,1146,35516.0,3.23
千葉県,967,18355.0,5.27
東京都,6292,84548.0,7.44
神奈川県,1508,12709.0,11.87
新潟県,84,4987.0,1.68
富山県,227,3962.0,5.73
石川県,300,2911.0,10.31
福井県,122,3445.0,3.54
山梨県,75,5711.0,1.31
⾧野県,77,3292.0,2.34
岐阜県,157,5265.0,2.98
静岡県,81,7675.0,1.06
愛知県,525,12859.0,4.08
三重県,46,2881.0,1.6
