pref,Positive,Tested,Percent
北海道,279,3297.0,8.46
青森県,22,410.0,5.37
岩手県　,0,170.0,0.0
宮城県,64,852.0,7.51
秋田県,16,603.0,2.65
山形県,39,1055.0,3.7
福島県　,39,706.0,5.52
茨城県,116,2719.0,4.27
栃木県,38,1121.0,3.39
群馬県,97,1787.0,5.43
埼玉県　,433,3056.0,14.17
千葉県　,490,2447.0,20.02
東京都,2332,6563.0,35.53
神奈川県,594,3306.0,17.97
新潟県,45,1787.0,2.52
富山県,54,956.0,5.65
石川県,131,778.0,16.84
福井県,92,765.0,12.03
山梨県,36,1205.0,2.99
長野県,35,1106.0,3.16
岐阜県,127,1519.0,8.36
静岡県,46,1647.0,2.79
愛知県,338,4250.0,7.95
三重県,19,1002.0,1.9
滋賀県,51,599.0,8.51
京都府,210,2275.0,9.23
大阪府　,895,3140.0,28.5
兵庫県,403,4403.0,9.15
奈良県,47,641.0,7.33
和歌山県,35,2119.0,1.65
鳥取県,1,432.0,0.23
島根県,10,442.0,2.26
岡山県,16,688.0,2.33
広島県　,66,2276.0,2.9
山口県,25,738.0,3.39
徳島県,3,248.0,1.21
香川県　,20,637.0,3.14
愛媛県,39,653.0,5.97
高知県,60,935.0,6.42
福岡県,403,5195.0,7.76
佐賀県,15,422.0,3.55
長崎県,14,1142.0,1.23
熊本県,29,1944.0,1.49
大分県,43,2172.0,1.98
宮崎県,17,733.0,2.32
鹿児島県,4,628.0,0.64
沖縄県,76,856.0,8.88
