pref,Positive,Tested,Percent
滋賀県,944,33729.0,2.8
京都府,3782,82095.0,4.61
大阪府,27217,415640.0,6.55
兵庫県,8204,123359.0,6.65
奈良県,1686,43109.0,3.91
和歌山県,582,15760.0,3.69
鳥取県,69,21278.0,0.32
島根県,181,8556.0,2.12
岡山県,1111,27231.0,4.08
広島県,2298,60968.0,3.77
山口県,468,24734.0,1.89
徳島県,192,14337.0,1.34
香川県,209,20614.0,1.01
愛媛県,375,10873.0,3.45
高知県,518,5353.0,9.68
福岡県,7366,240793.0,3.06
佐賀県,411,13513.0,3.04
⾧崎県,400,34299.0,1.17
熊本県,1446,30344.0,4.77
大分県,576,37321.0,1.54
宮崎県,669,11785.0,5.68
鹿児島県,875,34683.0,2.52
沖縄県,4989,83981.0,5.94
北海道,12307,213422.0,5.77
青森県,391,8675.0,4.51
岩手県,336,12981.0,2.59
宮城県,1776,23979.0,7.41
秋田県,95,3951.0,2.4
山形県,324,9645.0,3.36
福島県,754,50452.0,1.49
茨城県,2149,18301.0,11.74
栃木県,1039,66532.0,1.56
群馬県,1950,47293.0,4.12
埼玉県,11789,287305.0,4.1
千葉県,9172,206425.0,4.44
東京都,51838,913711.0,5.67
神奈川県,17039,318768.0,5.35
新潟県,443,25787.0,1.72
富山県,494,20063.0,2.46
石川県,967,26934.0,3.59
福井県,337,17495.0,1.93
山梨県,488,14339.0,3.4
⾧野県,1050,41682.0,2.52
岐阜県,1748,56624.0,3.09
静岡県,2383,78035.0,3.05
愛知県,14127,171494.0,8.24
三重県,1151,26913.0,4.28
