pref,Positive,Tested,Percent
北海道,891,7054.0,12.63
青森県,26,643.0,4.04
岩手県,0,381.0,0.0
宮城県,88,1910.0,4.61
秋田県,16,852.0,1.88
山形県,69,2246.0,3.07
福島県,79,2071.0,3.81
茨城県,168,4835.0,3.47
栃木県,54,2015.0,2.68
群馬県,146146,2596.0,5629.66
埼玉県,901,9243.0,9.75
千葉県,835,6374.0,13.1
東京都,4727,12486.0,37.86
神奈川県,1125,6002.0,18.74
新潟県,78,3044.0,2.56
富山県,216,2392.0,9.03
石川県,268,1977.0,13.56
福井県,122,1771.0,6.89
山梨県,56,2358.0,2.37
長野県,72,1818.0,3.96
岐阜県,150,2404.0,6.24
静岡県,73,2780.0,2.63
愛知県,498,7811.0,6.38
三重県,45,1938.0,2.32
滋賀県,98,1314.0,7.46
京都府,338,4343.0,7.78
大阪府,1689,12492.0,13.52
兵庫県,673,8294.0,8.11
奈良県,88,1605.0,5.48
和歌山県,62,3077.0,2.01
鳥取県,3,1111.0,0.27
島根県,24,830.0,2.89
岡山県,23,1131.0,2.03
広島県,162,5433.0,2.98
山口県,37,1290.0,2.87
徳島県,5,469.0,1.07
香川県,28,1731.0,1.62
愛媛県,48,1116.0,4.3
高知県,74,1506.0,4.91
福岡県,650,9400.0,6.91
佐賀県,45,1077.0,4.18
長崎県,17,2050.0,0.83
熊本県,47,3178.0,1.48
大分県,60,3175.0,1.89
宮崎県,17,1122.0,1.52
鹿児島県,10,1287.0,0.78
沖縄県,142,2211.0,6.42
