pref,Positive,Tested,Percent
北海道,1860,48825.0,3.81
青森県,35,2206.0,1.59
岩手県,23,3610.0,0.64
宮城県,275,8697.0,3.16
秋田県,50,1855.0,2.7
山形県,78,3144.0,2.48
福島県,200,16678.0,1.2
茨城県,606,11550.0,5.25
栃木県,328,25401.0,1.29
群馬県,517,16854.0,3.07
埼玉県,4227,123181.0,3.43
千葉県,3339,65505.0,5.1
東京都,22631,377119.0,6.0
神奈川県,5823,128296.0,4.54
新潟県,147,13774.0,1.07
富山県,408,10832.0,3.77
石川県,724,10349.0,7.0
福井県,244,9155.0,2.67
山梨県,179,9977.0,1.79
長野県,296,17030.0,1.74
岐阜県,574,19579.0,2.93
静岡県,504,29710.0,1.7
愛知県,4787,61474.0,7.79
三重県,450,11057.0,4.07
滋賀県,468,10406.0,4.5
京都府,1607,35638.0,4.51
大阪府,9444,155589.0,6.07
兵庫県,2421,48797.0,4.96
奈良県,544,18233.0,2.98
和歌山県,236,8875.0,2.66
鳥取県,22,4615.0,0.48
島根県,137,5172.0,2.65
岡山県,146,7511.0,1.94
広島県,464,18642.0,2.49
山口県,194,7913.0,2.45
徳島県,146,6549.0,2.23
香川県,87,9222.0,0.94
愛媛県,114,3921.0,2.91
高知県,137,3286.0,4.17
福岡県,4893,43896.0,11.15
佐賀県,244,5470.0,4.46
長崎県,234,16260.0,1.44
熊本県,564,12740.0,4.43
大分県,158,14312.0,1.1
宮崎県,339,8279.0,4.09
鹿児島県,372,17075.0,2.18
沖縄県,2269,31139.0,7.29
