pref,Positive,Tested,Percent
北海道,9075,154998.0,5.85
青森県,307,6889.0,4.46
岩手県,208,9681.0,2.15
宮城県,1221,19125.0,6.38
秋田県,90,3676.0,2.45
山形県,141,7663.0,1.84
福島県,506,40549.0,1.25
茨城県,1655,17086.0,9.69
栃木県,688,55743.0,1.23
群馬県,1283,36339.0,3.53
埼玉県,8680,240236.0,3.61
千葉県,7158,167709.0,4.27
東京都,41811,776098.0,5.39
神奈川県,12929,260211.0,4.97
新潟県,340,22619.0,1.5
富山県,460,17465.0,2.63
石川県,861,22622.0,3.81
福井県,319,15274.0,2.09
山梨県,353,13599.0,2.6
⾧野県,748,32320.0,2.31
岐阜県,1119,41349.0,2.71
静岡県,1722,59560.0,2.89
愛知県,10309,143080.0,7.21
三重県,880,19848.0,4.43
滋賀県,796,28288.0,2.81
京都府,2693,67261.0,4.0
大阪府,21018,334185.0,6.29
兵庫県,5749,98300.0,5.85
奈良県,1190,33927.0,3.51
和歌山県,471,13692.0,3.44
鳥取県,60,17317.0,0.35
島根県,148,6772.0,2.19
岡山県,619,19205.0,3.22
広島県,872,35884.0,2.43
山口県,398,19028.0,2.09
徳島県,181,7839.0,2.31
香川県,148,17450.0,0.85
愛媛県,327,7273.0,4.5
高知県,165,3806.0,4.34
福岡県,5901,204387.0,2.89
佐賀県,325,9931.0,3.27
⾧崎県,273,27465.0,0.99
熊本県,1045,24408.0,4.28
大分県,324,28476.0,1.14
宮崎県,521,9975.0,5.22
鹿児島県,629,27755.0,2.27
沖縄県,4398,74039.0,5.94
