pref,Positive,Tested,Percent
滋賀県,877,31553.0,2.78
京都府,3307,76611.0,4.32
大阪府,25420,388373.0,6.55
兵庫県,7403,115379.0,6.42
奈良県,1530,40263.0,3.8
和歌山県,562,15266.0,3.68
鳥取県,68,20394.0,0.33
島根県,168,7659.0,2.19
岡山県,702,24136.0,2.91
広島県,1733,48780.0,3.55
山口県,440,22347.0,1.97
徳島県,187,13978.0,1.34
香川県,201,19751.0,1.02
愛媛県,363,9778.0,3.71
高知県,404,4847.0,8.34
福岡県,6749,226346.0,2.98
佐賀県,390,12246.0,3.18
長崎県,328,30645.0,1.07
熊本県,1298,28528.0,4.55
大分県,534,34830.0,1.53
宮崎県,616,11354.0,5.43
鹿児島県,837,32430.0,2.58
沖縄県,4824,80078.0,6.02
北海道,11564,196775.0,5.88
青森県,382,8347.0,4.58
岩手県,315,12217.0,2.58
宮城県,1561,22027.0,7.09
秋田県,94,3865.0,2.43
山形県,281,9248.0,3.04
福島県,630,46150.0,1.37
茨城県,2030,18013.0,11.27
栃木県,915,62245.0,1.47
群馬県,1708,43736.0,3.91
埼玉県,10715,270128.0,3.97
千葉県,8388,193270.0,4.34
東京都,47990,866984.0,5.54
神奈川県,15397,289534.0,5.32
新潟県,414,24941.0,1.66
富山県,475,19337.0,2.46
石川県,922,25527.0,3.61
福井県,333,17048.0,1.95
山梨県,454,14198.0,3.2
長野県,991,38731.0,2.56
岐阜県,1544,52060.0,2.97
静岡県,2227,70589.0,3.15
愛知県,12820,162270.0,7.9
三重県,1086,24205.0,4.49
