pref,Positive,Tested,Percent
北海道,11930,207002.0,5.76
青森県,390,8573.0,4.55
岩手県,327,12829.0,2.55
宮城県,1682,23163.0,7.26
秋田県,94,3878.0,2.42
山形県,302,9487.0,3.18
福島県,682,48583.0,1.4
茨城県,2098,18137.0,11.57
栃木県,968,64646.0,1.5
群馬県,1867,46260.0,4.04
埼玉県,11290,280300.0,4.03
千葉県,8808,201920.0,4.36
東京都,50154,894214.0,5.61
神奈川県,16298,311376.0,5.23
新潟県,428,25524.0,1.68
富山県,484,19756.0,2.45
石川県,947,26524.0,3.57
福井県,337,17343.0,1.94
山梨県,467,14278.0,3.27
長野県,1023,40462.0,2.53
岐阜県,1682,55191.0,3.05
静岡県,2322,74303.0,3.13
愛知県,13519,170726.0,7.92
三重県,1122,26913.0,4.17
滋賀県,903,32908.0,2.74
京都府,3559,79776.0,4.46
大阪府,26476,405158.0,6.53
兵庫県,7846,120191.0,6.53
奈良県,1600,41712.0,3.84
和歌山県,572,15614.0,3.66
鳥取県,68,20998.0,0.32
島根県,178,8556.0,2.08
岡山県,911,27231.0,3.35
広島県,2026,56843.0,3.56
山口県,453,24734.0,1.83
徳島県,188,14157.0,1.33
香川県,206,20313.0,1.01
愛媛県,374,10835.0,3.45
高知県,465,5176.0,8.98
福岡県,6998,236143.0,2.96
佐賀県,405,13004.0,3.11
長崎県,352,31987.0,1.1
熊本県,1353,29145.0,4.64
大分県,559,36605.0,1.53
宮崎県,647,11569.0,5.59
鹿児島県,868,33826.0,2.57
沖縄県,4926,82311.0,5.98
