pref,Positive,Tested,Percent
北海道,1339,25042.0,5.35
青森県,30,1201.0,2.5
岩手県,0,1224.0,0.0
宮城県,132,5103.0,2.59
秋田県,16,1032.0,1.55
山形県,75,2817.0,2.66
福島県,84,8488.0,0.99
茨城県,225,6066.0,3.71
栃木県,124,10851.0,1.14
群馬県,167,6836.0,2.44
埼玉県,1754,50742.0,3.46
千葉県,1300,23565.0,5.52
東京都,9411,137338.0,6.85
神奈川県,1998,15233.0,13.12
新潟県,89,5578.0,1.6
富山県,231,4533.0,5.1
石川県,303,3005.0,10.08
福井県,126,4005.0,3.15
山梨県,77,6427.0,1.2
長野県,84,5055.0,1.66
岐阜県,177,6981.0,2.54
静岡県,104,9608.0,1.08
愛知県,613,15158.0,4.04
三重県,56,3299.0,1.7
滋賀県,110,3296.0,3.34
京都府,490,13461.0,3.64
大阪府,2245,51997.0,4.32
兵庫県,813,18933.0,4.29
奈良県,154,5045.0,3.05
和歌山県,89,4984.0,1.79
鳥取県,5,2214.0,0.23
島根県,25,1992.0,1.26
岡山県,41,2341.0,1.75
広島県,207,8806.0,2.35
山口県,42,3230.0,1.3
徳島県,10,1415.0,0.71
香川県,44,3607.0,1.22
愛媛県,82,2707.0,3.03
高知県,76,2130.0,3.57
福岡県,996,19119.0,5.21
佐賀県,47,1781.0,2.64
長崎県,40,4753.0,0.84
熊本県,50,4527.0,1.1
大分県,60,5689.0,1.05
宮崎県,20,1770.0,1.13
鹿児島県,165,8314.0,1.98
沖縄県,151,3457.0,4.37
