pref,Positive,Tested,Percent
滋賀県,104,2626.0,3.96
京都府,415,11482.0,3.61
大阪府,1915,44724.0,4.28
兵庫県,720,16313.0,4.41
奈良県,102,4383.0,2.33
和歌山県,66,4106.0,1.61
鳥取県,4,1922.0,0.21
島根県,24,1278.0,1.88
岡山県,28,2026.0,1.38
広島県,171,8128.0,2.1
山口県,37,2592.0,1.43
徳島県,9,1053.0,0.85
香川県,28,2919.0,0.96
愛媛県,82,2657.0,3.09
高知県,74,2006.0,3.69
福岡県,898,17409.0,5.16
佐賀県,47,1686.0,2.79
長崎県,19,3645.0,0.52
熊本県,49,4410.0,1.11
大分県,60,5280.0,1.14
宮崎県,18,1661.0,1.08
鹿児島県,122,4841.0,2.52
沖縄県,145,3062.0,4.74
北海道,1282,22533.0,5.69
青森県,27,1038.0,2.6
岩手県,0,1084.0,0.0
宮城県,99,4286.0,2.31
秋田県,16,1012.0,1.58
山形県,71,2618.0,2.71
福島県,82,7598.0,1.08
茨城県,189,5685.0,3.32
栃木県,90,8652.0,1.04
群馬県,155,5602.0,2.77
埼玉県,1352,42105.0,3.21
千葉県,1062,19698.0,5.39
東京都,7272,107242.0,6.78
神奈川県,1653,13894.0,11.9
新潟県,86,5212.0,1.65
富山県,230,4182.0,5.5
石川県,300,2950.0,10.17
福井県,122,3615.0,3.37
山梨県,75,6095.0,1.23
長野県,77,3434.0,2.24
岐阜県,162,5647.0,2.87
静岡県,91,8458.0,1.08
愛知県,528,13813.0,3.82
三重県,46,3009.0,1.53
