pref,Positive,Tested,Percent
北海道,2430,67282.0,3.61
青森県,57,2888.0,1.97
岩手県,25,4796.0,0.52
宮城県,504,11985.0,4.21
秋田県,59,2354.0,2.51
山形県,81,5326.0,1.52
福島県,332,24007.0,1.38
茨城県,719,13121.0,5.48
栃木県,453,34014.0,1.33
群馬県,764,25946.0,2.94
埼玉県,5234,160965.0,3.25
千葉県,4430,109745.0,4.04
東京都,28420,526696.0,5.4
神奈川県,7758,176654.0,4.39
新潟県,180,16688.0,1.08
富山県,422,13796.0,3.06
石川県,787,15040.0,5.23
福井県,249,10331.0,2.41
山梨県,199,11139.0,1.79
長野県,320,20700.0,1.55
岐阜県,640,24739.0,2.59
静岡県,572,38804.0,1.47
愛知県,5596,87290.0,6.41
三重県,544,14421.0,3.77
滋賀県,520,13209.0,3.94
京都府,1898,47653.0,3.98
大阪府,11361,208217.0,5.46
兵庫県,2946,62442.0,4.72
奈良県,607,22972.0,2.64
和歌山県,254,9858.0,2.58
鳥取県,36,5543.0,0.65
島根県,140,5980.0,2.34
岡山県,168,8654.0,1.94
広島県,644,24965.0,2.58
山口県,209,10769.0,1.94
徳島県,149,7130.0,2.09
香川県,96,12082.0,0.79
愛媛県,115,4215.0,2.73
高知県,140,3565.0,3.93
福岡県,5125,148398.0,3.45
佐賀県,249,6369.0,3.91
長崎県,241,20496.0,1.18
熊本県,726,18138.0,4.0
大分県,158,18834.0,0.84
宮崎県,366,8699.0,4.21
鹿児島県,456,21218.0,2.15
沖縄県,2826,45857.0,6.16
