pref,Positive,Tested,Percent
北海道,1275,21674.0,5.88
青森県,27,1002.0,2.69
岩手県,0,1005.0,0.0
宮城県,97,3951.0,2.46
秋田県,16,999.0,1.6
山形県,69,2566.0,2.69
福島県,82,7204.0,1.14
茨城県,183,5417.0,3.38
栃木県,86,7829.0,1.1
群馬県,154,5261.0,2.93
埼玉県,1218,37535.0,3.24
千葉県,1003,18877.0,5.31
東京都,6654,91377.0,7.28
神奈川県,1565,12898.0,12.13
新潟県,84,5054.0,1.66
富山県,228,4009.0,5.69
石川県,300,2925.0,10.26
福井県,122,3510.0,3.48
山梨県,75,5815.0,1.29
長野県,77,3351.0,2.3
岐阜県,160,5420.0,2.95
静岡県,86,7829.0,1.1
愛知県,525,13199.0,3.98
三重県,46,2945.0,1.56
滋賀県,103,2524.0,4.08
京都府,386,10600.0,3.64
大阪府,1851,41726.0,4.44
兵庫県,709,15362.0,4.62
奈良県,93,3943.0,2.36
和歌山県,64,4054.0,1.58
鳥取県,4,1645.0,0.24
島根県,24,1256.0,1.91
岡山県,28,1976.0,1.42
広島県,169,7907.0,2.14
山口県,37,2435.0,1.52
徳島県,6,953.0,0.63
香川県,28,2792.0,1.0
愛媛県,82,2629.0,3.12
高知県,74,1991.0,3.72
福岡県,862,16875.0,5.11
佐賀県,47,1665.0,2.82
長崎県,17,3343.0,0.51
熊本県,49,4325.0,1.13
大分県,60,5039.0,1.19
宮崎県,17,1589.0,1.07
鹿児島県,51,2784.0,1.83
沖縄県,142,3037.0,4.68
