pref,Positive,Tested,Percent
滋賀県,94,1209.0,7.78
京都府,309,3894.0,7.94
大阪府,1523,7380.0,20.64
兵庫県,629,6922.0,9.09
奈良県,78,1329.0,5.87
和歌山県,59,2837.0,2.08
鳥取県,3,982.0,0.31
島根県,22,790.0,2.78
岡山県,22,1129.0,1.95
広島県,145,4556.0,3.18
山口県,32,1225.0,2.61
徳島県,5,423.0,1.18
香川県,28,1512.0,1.85
愛媛県,47,1024.0,4.59
高知県,73,1362.0,5.36
福岡県,615,8611.0,7.14
佐賀県,36,912.0,3.95
長崎県,16,1851.0,0.86
熊本県,45,2912.0,1.55
大分県,60,3039.0,1.97
宮崎県,17,1053.0,1.61
鹿児島県,10,1176.0,0.85
沖縄県,137,1896.0,7.23
北海道,650,6149.0,10.57
青森県,23,580.0,3.97
岩手県,0,302.0,0.0
宮城県,86,1714.0,5.02
秋田県,16,818.0,1.96
山形県,66,2052.0,3.22
福島県,69,1634.0,4.22
茨城県,161,4273.0,3.77
栃木県,54,1826.0,2.96
群馬県,146,2589.0,5.64
埼玉県,823,6368.0,12.92
千葉県,793,5512.0,14.39
東京都,3961,10702.0,37.01
神奈川県,965,5439.0,17.74
新潟県,69,2578.0,2.68
富山県,181,2102.0,8.61
石川県,236,1703.0,13.86
福井県,121,1462.0,8.28
山梨県,51,2072.0,2.46
長野県,66,1680.0,3.93
岐阜県,146,2763.0,5.28
静岡県,64,2547.0,2.51
愛知県,477,6890.0,6.92
三重県,45,1799.0,2.5
