pref,Positive,Tested,Percent
滋賀県,869,31392.0,2.77
京都府,3267,75779.0,4.31
大阪府,25114,383174.0,6.55
兵庫県,7339,114190.0,6.43
奈良県,1512,39412.0,3.84
和歌山県,557,15059.0,3.7
鳥取県,67,19827.0,0.34
島根県,168,7659.0,2.19
岡山県,702,24136.0,2.91
広島県,1634,48780.0,3.35
山口県,437,22347.0,1.96
徳島県,187,13881.0,1.35
香川県,199,19583.0,1.02
愛媛県,360,9762.0,3.69
高知県,368,4777.0,7.7
福岡県,6680,226346.0,2.95
佐賀県,384,12001.0,3.2
⾧崎県,321,30156.0,1.06
熊本県,1267,28344.0,4.47
大分県,522,33944.0,1.54
宮崎県,612,11276.0,5.43
鹿児島県,837,32158.0,2.6
沖縄県,4824,80078.0,6.02
北海道,11460,194520.0,5.89
青森県,375,8163.0,4.59
岩手県,306,11317.0,2.7
宮城県,1531,21856.0,7.0
秋田県,94,3842.0,2.45
山形県,265,9181.0,2.89
福島県,622,45958.0,1.35
茨城県,2012,17994.0,11.18
栃木県,880,62128.0,1.42
群馬県,1683,43085.0,3.91
埼玉県,10543,266533.0,3.96
千葉県,8269,192386.0,4.3
東京都,47530,858689.0,5.54
神奈川県,15172,286971.0,5.29
新潟県,408,24569.0,1.66
富山県,474,19105.0,2.48
石川県,916,25019.0,3.66
福井県,332,16651.0,1.99
山梨県,451,14184.0,3.18
⾧野県,977,36749.0,2.66
岐阜県,1509,50749.0,2.97
静岡県,2199,69589.0,3.16
愛知県,12706,153696.0,8.27
三重県,1072,24205.0,4.43
