pref,Positive,Tested,Percent
滋賀県,100,2133.0,4.69
京都府,363,9255.0,3.92
大阪府,1790,36124.0,4.96
兵庫県,699,12023.0,5.81
奈良県,92,3491.0,2.64
和歌山県,63,3868.0,1.63
鳥取県,3,1435.0,0.21
島根県,24,1206.0,1.99
岡山県,25,1849.0,1.35
広島県,168,7515.0,2.24
山口県,37,1992.0,1.86
徳島県,5,829.0,0.6
香川県,28,2421.0,1.16
愛媛県,82,2544.0,3.22
高知県,74,1905.0,3.88
福岡県,827,15144.0,5.46
佐賀県,47,1575.0,2.98
長崎県,17,3052.0,0.56
熊本県,48,4138.0,1.16
大分県,60,4500.0,1.33
宮崎県,17,1494.0,1.14
鹿児島県,11,2341.0,0.47
沖縄県,142,2976.0,4.77
北海道,1178,18021.0,6.54
青森県,27,928.0,2.91
岩手県,0,826.0,0.0
宮城県,88,3356.0,2.62
秋田県,16,969.0,1.65
山形県,69,2487.0,2.77
福島県,81,5783.0,1.4
茨城県,168,5082.0,3.31
栃木県,66,5832.0,1.13
群馬県,151,4472.0,3.38
埼玉県,1023,28344.0,3.61
千葉県,920,16770.0,5.49
東京都,5633,61112.0,9.22
神奈川県,1420,11628.0,12.21
新潟県,83,4657.0,1.78
富山県,227,3735.0,6.08
石川県,299,2853.0,10.48
福井県,122,3105.0,3.93
山梨県,72,5050.0,1.43
長野県,76,3045.0,2.5
岐阜県,155,4476.0,3.46
静岡県,79,3711.0,2.13
愛知県,518,11523.0,4.5
三重県,45,2675.0,1.68
