pref,Positive,Tested,Percent
北海道,4820,101035.0,4.77
青森県,275,6100.0,4.51
岩手県,51,5988.0,0.85
宮城県,943,15890.0,5.93
秋田県,70,2695.0,2.6
山形県,94,6981.0,1.35
福島県,428,34760.0,1.23
茨城県,906,14703.0,6.16
栃木県,509,47905.0,1.06
群馬県,951,32726.0,2.91
埼玉県,6637,206246.0,3.22
千葉県,5633,142152.0,3.96
東京都,34144,659488.0,5.18
神奈川県,9895,220848.0,4.48
新潟県,224,19367.0,1.16
富山県,425,15642.0,2.72
石川県,827,19519.0,4.24
福井県,271,12106.0,2.24
山梨県,275,12472.0,2.2
長野県,429,25663.0,1.67
岐阜県,796,29011.0,2.74
静岡県,822,48055.0,1.71
愛知県,7299,113195.0,6.45
三重県,610,17127.0,3.56
滋賀県,646,14966.0,4.32
京都府,2222,55975.0,3.97
大阪府,14870,266357.0,5.58
兵庫県,3747,75625.0,4.95
奈良県,812,27245.0,2.98
和歌山県,308,10987.0,2.8
鳥取県,52,6090.0,0.85
島根県,141,6354.0,2.22
岡山県,367,14762.0,2.49
広島県,684,29759.0,2.3
山口県,248,12510.0,1.98
徳島県,170,7642.0,2.22
香川県,113,14848.0,0.76
愛媛県,123,4529.0,2.72
高知県,144,3686.0,3.91
福岡県,5360,178418.0,3.0
佐賀県,276,8003.0,3.45
長崎県,249,24364.0,1.02
熊本県,887,21374.0,4.15
大分県,163,22882.0,0.71
宮崎県,373,8829.0,4.22
鹿児島県,542,24653.0,2.2
沖縄県,3669,64314.0,5.7
