pref,Positive,Tested,Percent
滋賀県,507,12368.0,4.1
京都府,1791,44457.0,4.03
大阪府,10899,193368.0,5.64
兵庫県,2804,58696.0,4.78
奈良県,581,21517.0,2.7
和歌山県,242,9395.0,2.58
鳥取県,36,5505.0,0.65
島根県,140,5858.0,2.39
岡山県,161,8654.0,1.86
広島県,605,21475.0,2.82
山口県,204,10197.0,2.0
徳島県,149,7018.0,2.12
香川県,93,11167.0,0.83
愛媛県,115,4138.0,2.78
高知県,138,3513.0,3.93
福岡県,5057,138184.0,3.66
佐賀県,246,6199.0,3.97
長崎県,238,19226.0,1.24
熊本県,639,16954.0,3.77
大分県,158,17483.0,0.9
宮崎県,344,8635.0,3.98
鹿児島県,440,19713.0,2.23
沖縄県,2629,41446.0,6.34
北海道,2217,60281.0,3.68
青森県,37,2518.0,1.47
岩手県,24,4407.0,0.54
宮城県,433,10976.0,3.94
秋田県,58,2250.0,2.58
山形県,78,5225.0,1.49
福島県,272,21225.0,1.28
茨城県,681,12699.0,5.36
栃木県,442,32382.0,1.36
群馬県,733,23493.0,3.12
埼玉県,4840,148915.0,3.25
千葉県,4110,99323.0,4.14
東京都,26727,483688.0,5.53
神奈川県,7212,160797.0,4.49
新潟県,170,15839.0,1.07
富山県,422,12816.0,3.29
石川県,778,13778.0,5.65
福井県,246,9923.0,2.48
山梨県,195,10846.0,1.8
長野県,313,19595.0,1.6
岐阜県,631,23549.0,2.68
静岡県,558,36458.0,1.53
愛知県,5449,80350.0,6.78
三重県,530,13479.0,3.93
