pref,Positive,Tested,Percent
滋賀県,104,2593.0,4.01
京都府,413,11314.0,3.65
大阪府,1905,43972.0,4.33
兵庫県,717,16089.0,4.46
奈良県,100,4383.0,2.28
和歌山県,64,4095.0,1.56
鳥取県,4,1877.0,0.21
島根県,24,1267.0,1.89
岡山県,28,2014.0,1.39
広島県,171,8076.0,2.12
山口県,37,2542.0,1.46
徳島県,9,1018.0,0.88
香川県,28,2895.0,0.97
愛媛県,82,2654.0,3.09
高知県,74,2006.0,3.69
福岡県,885,17222.0,5.14
佐賀県,47,1682.0,2.79
⻑崎県,18,3544.0,0.51
熊本県,49,4395.0,1.11
大分県,60,5219.0,1.15
宮崎県,18,1645.0,1.09
鹿児島県,122,4841.0,2.52
沖縄県,144,3062.0,4.7
⻑崎船その他県,149,,
北海道,1278,22347.0,5.72
⻘森県,27,1027.0,2.63
岩手県,0,1046.0,0.0
宮城県,98,4251.0,2.31
秋田県,16,1007.0,1.59
山形県,71,2609.0,2.72
福島県,82,7477.0,1.1
茨城県,188,5621.0,3.34
栃木県,88,8464.0,1.04
群馬県,155,5558.0,2.79
埼玉県,1330,41312.0,3.22
千葉県,1040,19479.0,5.34
東京都,7048,100107.0,7.04
神奈川県,1628,13695.0,11.89
新潟県,86,5170.0,1.66
富山県,229,4147.0,5.52
石川県,300,2944.0,10.19
福井県,122,3587.0,3.4
山梨県,75,6061.0,1.24
⻑野県,77,3411.0,2.26
岐阜県,160,5567.0,2.87
静岡県,88,8188.0,1.07
愛知県,526,13693.0,3.84
三重県,46,2993.0,1.54
