pref,Positive,Tested,Percent
北海道,1221,20182.0,6.05
青森県,27,971.0,2.78
岩手県,0,918.0,0.0
宮城県,92,3652.0,2.52
秋田県,16,990.0,1.62
山形県,69,2526.0,2.73
福島県,82,6593.0,1.24
茨城県,172,5235.0,3.29
栃木県,69,6699.0,1.03
群馬県,152,4897.0,3.1
埼玉県,1101,33141.0,3.32
千葉県,946,17898.0,5.29
東京都,6054,77406.0,7.82
神奈川県,1455,12347.0,11.78
新潟県,84,4860.0,1.73
富山県,227,3896.0,5.83
石川県,300,2895.0,10.36
福井県,122,3366.0,3.62
山梨県,72,5495.0,1.31
長野県,77,3227.0,2.39
岐阜県,156,5122.0,3.05
静岡県,80,7324.0,1.09
愛知県,523,12445.0,4.2
三重県,46,2847.0,1.62
滋賀県,101,2340.0,4.32
京都府,366,9896.0,3.7
大阪府,1814,39556.0,4.59
兵庫県,705,14637.0,4.82
奈良県,92,3760.0,2.45
和歌山県,64,3962.0,1.62
鳥取県,3,1471.0,0.2
島根県,24,1238.0,1.94
岡山県,26,1906.0,1.36
広島県,168,7744.0,2.17
山口県,37,2240.0,1.65
徳島県,6,869.0,0.69
香川県,28,2636.0,1.06
愛媛県,82,2586.0,3.17
高知県,74,1958.0,3.78
福岡県,844,15995.0,5.28
佐賀県,47,1611.0,2.92
長崎県,17,3177.0,0.54
熊本県,49,4234.0,1.16
大分県,60,4803.0,1.25
宮崎県,17,1549.0,1.1
鹿児島県,11,2561.0,0.43
沖縄県,142,3012.0,4.71
