pref,Positive,Tested,Percent
北海道,8718,150003.0,5.81
青森県,295,6697.0,4.4
岩手県,194,9451.0,2.05
宮城県,1202,18866.0,6.37
秋田県,90,3668.0,2.45
山形県,135,7530.0,1.79
福島県,501,40014.0,1.25
茨城県,1561,16741.0,9.32
栃木県,638,54416.0,1.17
群馬県,1207,35606.0,3.39
埼玉県,8427,235202.0,3.58
千葉県,7008,163547.0,4.29
東京都,40939,760947.0,5.38
神奈川県,12559,254992.0,4.93
新潟県,331,22272.0,1.49
富山県,459,17114.0,2.68
石川県,853,21967.0,3.88
福井県,316,14684.0,2.15
山梨県,338,13556.0,2.49
⾧野県,718,31328.0,2.29
岐阜県,1072,33776.0,3.17
静岡県,1620,56892.0,2.85
愛知県,10112,135512.0,7.46
三重県,858,19848.0,4.32
滋賀県,783,27762.0,2.82
京都府,2663,65925.0,4.04
大阪府,20273,323566.0,6.27
兵庫県,5570,95654.0,5.82
奈良県,1141,32940.0,3.46
和歌山県,452,13463.0,3.36
鳥取県,58,16572.0,0.35
島根県,147,6772.0,2.17
岡山県,599,19205.0,3.12
広島県,838,34993.0,2.39
山口県,386,17013.0,2.27
徳島県,181,7826.0,2.31
香川県,143,17069.0,0.84
愛媛県,314,7104.0,4.42
高知県,152,3755.0,4.05
福岡県,5827,200689.0,2.9
佐賀県,309,9667.0,3.2
⾧崎県,271,26979.0,1.0
熊本県,1012,23912.0,4.23
大分県,295,27366.0,1.08
宮崎県,503,9765.0,5.15
鹿児島県,612,27472.0,2.23
沖縄県,4326,72779.0,5.94
