pref,Positive,Tested,Percent
北海道,8526,147128.0,5.79
青森県,287,6569.0,4.37
岩手県,191,9286.0,2.06
宮城県,1195,18794.0,6.36
秋田県,90,3500.0,2.57
山形県,133,7460.0,1.78
福島県,499,39593.0,1.26
茨城県,1539,16407.0,9.38
栃木県,634,53517.0,1.18
群馬県,1195,35486.0,3.37
埼玉県,8361,231105.0,3.62
千葉県,6939,161979.0,4.28
東京都,40628,750084.0,5.42
神奈川県,12478,249352.0,5.0
新潟県,331,22161.0,1.49
富山県,458,16966.0,2.7
石川県,850,21885.0,3.88
福井県,314,14643.0,2.14
山梨県,336,13459.0,2.5
⾧野県,703,30587.0,2.3
岐阜県,1055,33458.0,3.15
静岡県,1447,55546.0,2.61
愛知県,9849,135512.0,7.27
三重県,844,19848.0,4.25
滋賀県,780,27443.0,2.84
京都府,2585,64192.0,4.03
大阪府,20011,320480.0,6.24
兵庫県,5459,94560.0,5.77
奈良県,1122,31912.0,3.52
和歌山県,446,13400.0,3.33
鳥取県,58,16350.0,0.35
島根県,146,6772.0,2.16
岡山県,592,19205.0,3.08
広島県,785,34211.0,2.29
山口県,384,17013.0,2.26
徳島県,181,7822.0,2.31
香川県,142,16864.0,0.84
愛媛県,311,6961.0,4.47
高知県,150,3754.0,4.0
福岡県,5801,199804.0,2.9
佐賀県,307,9621.0,3.19
⾧崎県,265,26884.0,0.99
熊本県,1012,23912.0,4.23
大分県,280,27223.0,1.03
宮崎県,477,9431.0,5.06
鹿児島県,612,27152.0,2.25
沖縄県,4294,72251.0,5.94
