pref,Positive,Tested,Percent
北海道,1541,33382.0,4.62
青森県,32,1549.0,2.07
岩手県,7,1907.0,0.37
宮城県,182,6752.0,2.7
秋田県,35,1201.0,2.91
山形県,76,2975.0,2.55
福島県,96,10978.0,0.87
茨城県,397,8181.0,4.85
栃木県,246,16441.0,1.5
群馬県,226,9239.0,2.45
埼玉県,2878,78927.0,3.65
千葉県,2164,32778.0,6.6
東京都,15867,221676.0,7.16
神奈川県,3187,42717.0,7.46
新潟県,128,7460.0,1.72
富山県,285,5841.0,4.88
石川県,364,3521.0,10.34
福井県,154,5557.0,2.77
山梨県,124,7778.0,1.59
長野県,131,9389.0,1.4
岐阜県,465,13419.0,3.47
静岡県,345,16211.0,2.13
愛知県,2675,29908.0,8.94
三重県,229,6002.0,3.82
滋賀県,291,5717.0,5.09
京都府,923,20966.0,4.4
大阪府,5769,90998.0,6.34
兵庫県,1588,31663.0,5.02
奈良県,330,15767.0,2.09
和歌山県,179,6927.0,2.58
鳥取県,21,4041.0,0.52
島根県,31,3071.0,1.01
岡山県,111,3518.0,3.16
広島県,406,14241.0,2.85
山口県,76,4430.0,1.72
徳島県,58,2848.0,2.04
香川県,59,5464.0,1.08
愛媛県,102,3243.0,3.15
高知県,83,2391.0,3.47
福岡県,2903,30475.0,9.53
佐賀県,154,3398.0,4.53
長崎県,166,9339.0,1.78
熊本県,354,7832.0,4.52
大分県,87,7915.0,1.1
宮崎県,228,5940.0,3.84
鹿児島県,277,12235.0,2.26
沖縄県,1127,14462.0,7.79
