pref,Positive,Tested,Percent
滋賀県,804,28577.0,2.81
京都府,2714,67950.0,3.99
大阪府,21404,338860.0,6.32
兵庫県,5868,99809.0,5.88
奈良県,1229,34463.0,3.57
和歌山県,478,13801.0,3.46
鳥取県,61,17738.0,0.34
島根県,152,7158.0,2.12
岡山県,629,20802.0,3.02
広島県,897,35884.0,2.5
山口県,402,19028.0,2.11
徳島県,182,7848.0,2.32
香川県,154,17757.0,0.87
愛媛県,331,7393.0,4.48
高知県,180,3871.0,4.65
福岡県,5932,206315.0,2.88
佐賀県,329,10160.0,3.24
長崎県,273,27725.0,0.98
熊本県,1055,24650.0,4.28
大分県,342,28985.0,1.18
宮崎県,527,10183.0,5.18
鹿児島県,629,27883.0,2.26
沖縄県,4447,74544.0,5.97
北海道,9251,157664.0,5.87
青森県,315,6975.0,4.52
岩手県,212,9887.0,2.14
宮城県,1230,19189.0,6.41
秋田県,90,3677.0,2.45
山形県,149,7717.0,1.93
福島県,509,40917.0,1.24
茨城県,1692,17233.0,9.82
栃木県,702,56119.0,1.25
群馬県,1312,36684.0,3.58
埼玉県,8830,242738.0,3.64
千葉県,7239,169433.0,4.27
東京都,42344,784259.0,5.4
神奈川県,13126,262887.0,4.99
新潟県,348,22805.0,1.53
富山県,461,17678.0,2.61
石川県,862,22755.0,3.79
福井県,320,15346.0,2.09
山梨県,362,13619.0,2.66
長野県,760,32727.0,2.32
岐阜県,1161,42063.0,2.76
静岡県,1782,60541.0,2.94
愛知県,10528,143080.0,7.36
三重県,905,19848.0,4.56
