pref,Positive,Tested,Percent
北海道,6113,116432.0,5.25
青森県,280,6294.0,4.45
岩手県,97,7190.0,1.35
宮城県,1046,17017.0,6.15
秋田県,74,3155.0,2.35
山形県,105,7126.0,1.47
福島県,458,36590.0,1.25
茨城県,1099,15414.0,7.13
栃木県,542,49054.0,1.1
群馬県,994,33732.0,2.95
埼玉県,7230,214783.0,3.37
千葉県,6109,152376.0,4.01
東京都,36256,694770.0,5.22
神奈川県,10780,232100.0,4.64
新潟県,274,20479.0,1.34
富山県,435,15977.0,2.72
石川県,831,20270.0,4.1
福井県,295,13040.0,2.26
山梨県,292,12762.0,2.29
長野県,545,27444.0,1.99
岐阜県,875,30679.0,2.85
静岡県,1053,50828.0,2.07
愛知県,8043,121305.0,6.63
三重県,666,17127.0,3.89
滋賀県,708,14966.0,4.73
京都府,2395,59309.0,4.04
大阪府,16374,284006.0,5.77
兵庫県,4223,80976.0,5.22
奈良県,929,29282.0,3.17
和歌山県,361,11829.0,3.05
鳥取県,53,6177.0,0.86
島根県,142,6498.0,2.19
岡山県,445,17220.0,2.58
広島県,724,31336.0,2.31
山口県,303,13795.0,2.2
徳島県,175,7697.0,2.27
香川県,125,15605.0,0.8
愛媛県,153,4880.0,3.14
高知県,144,3698.0,3.89
福岡県,5442,185859.0,2.93
佐賀県,290,8483.0,3.42
長崎県,253,25328.0,1.0
熊本県,940,22574.0,4.16
大分県,196,24179.0,0.81
宮崎県,388,8869.0,4.37
鹿児島県,576,25386.0,2.27
沖縄県,3887,65911.0,5.9
