pref,Positive,Tested,Percent
北海道,2590,71450.0,3.62
青森県,138,3404.0,4.05
岩手県,26,4984.0,0.52
宮城県,538,12525.0,4.3
秋田県,61,2399.0,2.54
山形県,81,5608.0,1.44
福島県,374,26071.0,1.43
茨城県,731,13484.0,5.42
栃木県,473,34761.0,1.36
群馬県,806,26941.0,2.99
埼玉県,5476,170524.0,3.21
千葉県,4637,114416.0,4.05
東京都,29335,552912.0,5.31
神奈川県,8100,182851.0,4.43
新潟県,180,17092.0,1.05
富山県,422,14157.0,2.98
石川県,795,15695.0,5.07
福井県,256,10717.0,2.39
山梨県,199,11301.0,1.76
⾧野県,327,21561.0,1.52
岐阜県,651,25391.0,2.56
静岡県,583,40201.0,1.45
愛知県,5713,91443.0,6.25
三重県,551,14854.0,3.71
滋賀県,531,13450.0,3.95
京都府,1934,49696.0,3.89
大阪府,11702,217762.0,5.37
兵庫県,3027,64611.0,4.68
奈良県,618,23550.0,2.62
和歌山県,260,10021.0,2.59
鳥取県,35,5567.0,0.63
島根県,140,6066.0,2.31
岡山県,185,8654.0,2.14
広島県,651,26180.0,2.49
山口県,210,11214.0,1.87
徳島県,163,7304.0,2.23
香川県,99,12691.0,0.78
愛媛県,116,4274.0,2.71
高知県,140,3591.0,3.9
福岡県,5153,154248.0,3.34
佐賀県,253,6774.0,3.73
⾧崎県,242,21126.0,1.15
熊本県,754,18644.0,4.04
大分県,159,19633.0,0.81
宮崎県,366,8729.0,4.19
鹿児島県,463,21588.0,2.14
沖縄県,3012,49145.0,6.13
