pref,Positive,Tested,Percent
滋賀県,100,1859.0,5.38
京都府,358,8085.0,4.43
大阪府,1783,31276.0,5.7
兵庫県,699,11153.0,6.27
奈良県,92,2545.0,3.61
和歌山県,63,3708.0,1.7
鳥取県,3,1343.0,0.22
島根県,24,1128.0,2.13
岡山県,25,1709.0,1.46
広島県,168,6979.0,2.41
山口県,37,1758.0,2.1
徳島県,5,744.0,0.67
香川県,28,2192.0,1.28
愛媛県,82,2208.0,3.71
高知県,74,1798.0,4.12
福岡県,758,12810.0,5.92
佐賀県,47,1418.0,3.31
⾧崎県,17,2770.0,0.61
熊本県,48,3930.0,1.22
大分県,60,4003.0,1.5
宮崎県,17,1386.0,1.23
鹿児島県,10,1871.0,0.53
沖縄県,142,2870.0,4.95
北海道,1091,14421.0,7.57
青森県,27,853.0,3.17
岩手県,0,672.0,0.0
宮城県,88,2950.0,2.98
秋田県,16,933.0,1.71
山形県,69,2660.0,2.59
福島県,81,4489.0,1.8
茨城県,168,4684.0,3.59
栃木県,65,3909.0,1.66
群馬県,149,3662.0,4.07
埼玉県,1003,20933.0,4.79
千葉県,909,14814.0,6.14
東京都,5249,15212.0,34.51
神奈川県,1370,9637.0,14.22
新潟県,83,4180.0,1.99
富山県,227,3190.0,7.12
石川県,298,2727.0,10.93
福井県,122,2638.0,4.62
山梨県,64,4038.0,1.58
⾧野県,76,2727.0,2.79
岐阜県,151,3614.0,4.18
静岡県,76,3526.0,2.16
愛知県,508,10142.0,5.01
三重県,45,2508.0,1.79
