pref,Positive,Tested,Percent
滋賀県,8,232.0,3.45
京都府,71,1178.0,6.03
大阪府,279,,
兵庫県,161,2462.0,6.54
奈良県,15,314.0,4.78
和歌山県,18,1479.0,1.22
鳥取県,0,182.0,0.0
島根県,0,136.0,0.0
岡山県,4,321.0,1.25
広島県,6,960.0,0.62
山口県,6,287.0,2.09
徳島県,3,144.0,2.08
香川県,2,,
愛媛県,9,267.0,3.37
高知県,20,389.0,5.14
福岡県,52,1069.0,4.86
佐賀県,4,150.0,2.67
長崎県,5,351.0,1.42
熊本県,15,925.0,1.62
大分県,29,1647.0,1.76
宮崎県,3,284.0,1.06
鹿児島県,2,265.0,0.75
沖縄県,9,356.0,2.53
北海道,182,2096.0,8.68
青森県,8,137.0,5.84
岩手県,0,59.0,0.0
宮城県,7,,
秋田県,6,261.0,2.3
山形県,1,222.0,0.45
福島県,6,204.0,2.94
茨城県,24,1028.0,2.33
栃木県,14,456.0,3.07
群馬県,20,289.0,6.92
埼玉県,101,1293.0,7.81
千葉県,175,527.0,33.21
東京都,593,3027.0,19.59
神奈川県,138,614.0,22.48
新潟県,31,1061.0,2.92
富山県,5,90.0,5.56
石川県,15,228.0,6.58
福井県,22,179.0,12.29
山梨県,8,472.0,1.69
長野県,9,506.0,1.78
岐阜県,22,717.0,3.07
静岡県,6,745.0,0.81
愛知県,181,2854.0,6.34
三重県,11,458.0,2.4
