pref,Positive,Tested,Percent
滋賀県,471,10706.0,4.4
京都府,1624,36630.0,4.43
大阪府,9636,159267.0,6.05
兵庫県,2470,49817.0,4.96
奈良県,546,18481.0,2.95
和歌山県,236,8918.0,2.65
鳥取県,32,4683.0,0.68
島根県,137,5215.0,2.63
岡山県,147,7511.0,1.96
広島県,468,18987.0,2.46
山口県,194,8252.0,2.35
徳島県,147,6636.0,2.22
香川県,89,9497.0,0.94
愛媛県,114,3938.0,2.89
高知県,137,3319.0,4.13
福岡県,4948,44991.0,11.0
佐賀県,244,5532.0,4.41
長崎県,236,16492.0,1.43
熊本県,569,13039.0,4.36
大分県,158,14529.0,1.09
宮崎県,342,8331.0,4.11
鹿児島県,372,17221.0,2.16
沖縄県,2294,32570.0,7.04
北海道,1876,49898.0,3.76
青森県,35,2217.0,1.58
岩手県,23,3727.0,0.62
宮城県,310,8955.0,3.46
秋田県,51,1862.0,2.74
山形県,78,4895.0,1.59
福島県,211,17156.0,1.23
茨城県,614,11777.0,5.21
栃木県,359,25830.0,1.39
群馬県,553,17456.0,3.17
埼玉県,4302,124854.0,3.45
千葉県,3416,68010.0,5.02
東京都,23083,386979.0,5.96
神奈川県,5960,131185.0,4.54
新潟県,149,13917.0,1.07
富山県,408,10945.0,3.73
石川県,731,10793.0,6.77
福井県,244,9242.0,2.64
山梨県,179,10072.0,1.78
長野県,296,17264.0,1.71
岐阜県,594,20034.0,2.96
静岡県,504,30159.0,1.67
愛知県,4897,62807.0,7.8
三重県,460,11265.0,4.08
