pref,Positive,Tested,Percent
北海道,3681,89907.0,4.09
青森県,271,5750.0,4.71
岩手県,30,5655.0,0.53
宮城県,834,15020.0,5.55
秋田県,67,2642.0,2.54
山形県,86,6749.0,1.27
福島県,412,31153.0,1.32
茨城県,806,14162.0,5.69
栃木県,498,45708.0,1.09
群馬県,924,30491.0,3.03
埼玉県,6201,194647.0,3.19
千葉県,5310,135455.0,3.92
東京都,32429,627902.0,5.16
神奈川県,9261,209445.0,4.42
新潟県,188,18262.0,1.03
富山県,424,15001.0,2.83
石川県,819,18467.0,4.43
福井県,258,11246.0,2.29
山梨県,225,11926.0,1.89
長野県,357,24098.0,1.48
岐阜県,729,27877.0,2.62
静岡県,707,44670.0,1.58
愛知県,6618,105343.0,6.28
三重県,595,16342.0,3.64
滋賀県,599,14734.0,4.07
京都府,2101,54297.0,3.87
大阪府,13676,250416.0,5.46
兵庫県,3455,72133.0,4.79
奈良県,726,25726.0,2.82
和歌山県,286,10623.0,2.69
鳥取県,43,5889.0,0.73
島根県,141,6281.0,2.24
岡山県,332,11198.0,2.96
広島県,670,28463.0,2.35
山口県,225,11960.0,1.88
徳島県,167,7566.0,2.21
香川県,104,14083.0,0.74
愛媛県,117,4434.0,2.64
高知県,144,3671.0,3.92
福岡県,5276,171300.0,3.08
佐賀県,268,7612.0,3.52
長崎県,246,23522.0,1.05
熊本県,847,20748.0,4.08
大分県,160,21889.0,0.73
宮崎県,372,8807.0,4.22
鹿児島県,505,23324.0,2.17
沖縄県,3488,60962.0,5.72
