pref,Positive,Tested,Percent
滋賀県,98,1378.0,7.11
京都府,347,5138.0,6.75
大阪府,1713,14939.0,11.47
兵庫県,679,8516.0,7.97
奈良県,89,1907.0,4.67
和歌山県,62,3283.0,1.89
鳥取県,3,1142.0,0.26
島根県,24,888.0,2.7
岡山県,23,1303.0,1.77
広島県,162,5588.0,2.9
山口県,37,1455.0,2.54
徳島県,5,518.0,0.97
香川県,28,1753.0,1.6
愛媛県,48,1225.0,3.92
高知県,74,1528.0,4.84
福岡県,652,10020.0,6.51
佐賀県,45,1143.0,3.94
長崎県,17,2215.0,0.77
熊本県,47,3313.0,1.42
大分県,60,3349.0,1.79
宮崎県,17,1192.0,1.43
鹿児島県,10,1378.0,0.73
沖縄県,142,2366.0,6.0
北海道,928,7827.0,11.86
青森県,26,714.0,3.64
岩手県,0,387.0,0.0
宮城県,88,2166.0,4.06
秋田県,16,880.0,1.82
山形県,69,2382.0,2.9
福島県,79,2150.0,3.67
茨城県,168,5281.0,3.18
栃木県,54,2287.0,2.36
群馬県,147,2911.0,5.05
埼玉県,922,9456.0,9.75
千葉県,842,7308.0,11.52
東京都,4777,12950.0,36.89
神奈川県,1145,6913.0,16.56
新潟県,78,3238.0,2.41
富山県,220,2392.0,9.2
石川県,275,2175.0,12.64
福井県,122,1964.0,6.21
山梨県,56,2738.0,2.05
長野県,73,2027.0,3.6
岐阜県,150,2498.0,6.0
静岡県,73,2792.0,2.61
愛知県,498,7866.0,6.33
三重県,45,2084.0,2.16
