pref,Positive,Tested,Percent
北海道,1698,39136.0,4.34
青森県,33,1870.0,1.76
岩手県,11,2467.0,0.45
宮城県,191,7438.0,2.57
秋田県,45,1652.0,2.72
山形県,77,3055.0,2.52
福島県,125,13050.0,0.96
茨城県,503,9791.0,5.14
栃木県,289,20152.0,1.43
群馬県,380,12059.0,3.15
埼玉県,3562,97120.0,3.67
千葉県,2774,49670.0,5.58
東京都,19333,284343.0,6.8
神奈川県,4420,100213.0,4.41
新潟県,139,11730.0,1.18
富山県,341,6984.0,4.88
石川県,556,6510.0,8.54
福井県,163,6389.0,2.55
山梨県,162,9028.0,1.79
長野県,172,11995.0,1.43
岐阜県,539,16662.0,3.23
静岡県,433,21516.0,2.01
愛知県,4137,46351.0,8.93
三重県,337,8578.0,3.93
滋賀県,391,7791.0,5.02
京都府,1243,26619.0,4.67
大阪府,7841,120078.0,6.53
兵庫県,2105,39941.0,5.27
奈良県,490,12714.0,3.85
和歌山県,225,8305.0,2.71
鳥取県,22,4456.0,0.49
島根県,134,4598.0,2.91
岡山県,138,5880.0,2.35
広島県,450,16687.0,2.7
山口県,111,5726.0,1.94
徳島県,106,4857.0,2.18
香川県,71,7112.0,1.0
愛媛県,114,3684.0,3.09
高知県,109,2749.0,3.97
福岡県,4055,37582.0,10.79
佐賀県,222,4467.0,4.97
長崎県,201,12347.0,1.63
熊本県,471,10146.0,4.64
大分県,138,10927.0,1.26
宮崎県,317,7335.0,4.32
鹿児島県,342,14082.0,2.43
沖縄県,1889,22437.0,8.42
