pref,Positive,Tested,Percent
滋賀県,452,9273.0,4.87
京都府,1452,31696.0,4.58
大阪府,8656,136336.0,6.35
兵庫県,2276,44670.0,5.1
奈良県,523,12972.0,4.03
和歌山県,230,8627.0,2.67
鳥取県,22,4557.0,0.48
島根県,137,4890.0,2.8
岡山県,145,5880.0,2.47
広島県,458,17843.0,2.57
山口県,170,6930.0,2.45
徳島県,133,5935.0,2.24
香川県,77,8176.0,0.94
愛媛県,114,3813.0,2.99
高知県,128,3051.0,4.2
福岡県,4598,40915.0,11.24
佐賀県,237,5132.0,4.62
長崎県,232,14766.0,1.57
熊本県,524,11485.0,4.56
大分県,147,12462.0,1.18
宮崎県,337,8080.0,4.17
鹿児島県,362,15890.0,2.28
沖縄県,2139,25614.0,8.35
北海道,1781,44276.0,4.02
青森県,35,2036.0,1.72
岩手県,19,3118.0,0.61
宮城県,207,7886.0,2.62
秋田県,49,1787.0,2.74
山形県,78,3105.0,2.51
福島県,167,14935.0,1.12
茨城県,549,10845.0,5.06
栃木県,306,22354.0,1.37
群馬県,445,14568.0,3.05
埼玉県,3975,107626.0,3.69
千葉県,3068,56338.0,5.45
東京都,20987,327856.0,6.4
神奈川県,5020,115627.0,4.34
新潟県,144,12646.0,1.14
富山県,394,7776.0,5.07
石川県,653,8106.0,8.06
福井県,232,7966.0,2.91
山梨県,173,9559.0,1.81
長野県,261,14562.0,1.79
岐阜県,558,18158.0,3.07
静岡県,482,25953.0,1.86
愛知県,4535,54272.0,8.36
三重県,380,9868.0,3.85
