pref,Positive,Tested,Percent
滋賀県,100,2003.0,4.99
京都府,360,8793.0,4.09
大阪府,1785,34037.0,5.24
兵庫県,699,11716.0,5.97
奈良県,92,3240.0,2.84
和歌山県,63,3815.0,1.65
鳥取県,3,1405.0,0.21
島根県,24,1176.0,2.04
岡山県,25,1790.0,1.4
広島県,168,7328.0,2.29
山口県,37,1886.0,1.96
徳島県,5,789.0,0.63
香川県,28,2344.0,1.19
愛媛県,82,2487.0,3.3
高知県,74,1863.0,3.97
福岡県,808,14552.0,5.55
佐賀県,47,1513.0,3.11
長崎県,17,2972.0,0.57
熊本県,48,4070.0,1.18
大分県,60,4309.0,1.39
宮崎県,17,1453.0,1.17
鹿児島県,10,2049.0,0.49
沖縄県,142,2930.0,4.85
北海道,1132,16456.0,6.88
青森県,27,892.0,3.03
岩手県,0,767.0,0.0
宮城県,88,3136.0,2.81
秋田県,16,957.0,1.67
山形県,69,2463.0,2.8
福島県,81,5232.0,1.55
茨城県,168,4934.0,3.4
栃木県,66,5141.0,1.28
群馬県,151,4158.0,3.63
埼玉県,1014,25132.0,4.03
千葉県,912,15813.0,5.77
東京都,5426,16177.0,33.54
神奈川県,1398,10918.0,12.8
新潟県,83,4465.0,1.86
富山県,227,3542.0,6.41
石川県,299,2806.0,10.66
福井県,122,2919.0,4.18
山梨県,68,4577.0,1.49
長野県,76,2930.0,2.59
岐阜県,153,4065.0,3.76
静岡県,76,3644.0,2.09
愛知県,511,10961.0,4.66
三重県,45,2599.0,1.73
