pref,Positive,Tested,Percent
北海道,1099,14714.0,7.47
青森県,27,867.0,3.11
岩手県,0,695.0,0.0
宮城県,88,2979.0,2.95
秋田県,16,940.0,1.7
山形県,69,2412.0,2.86
福島県,81,4661.0,1.74
茨城県,168,4721.0,3.56
栃木県,66,4105.0,1.61
群馬県,149,3746.0,3.98
埼玉県,1005,22228.0,4.52
千葉県,907,14929.0,6.08
東京都,5295,15332.0,34.54
神奈川県,1375,10103.0,13.61
新潟県,83,4262.0,1.95
富山県,227,3431.0,6.62
石川県,298,2746.0,10.85
福井県,122,2717.0,4.49
山梨県,65,4146.0,1.57
長野県,76,2766.0,2.75
岐阜県,151,3729.0,4.05
静岡県,76,3554.0,2.14
愛知県,509,10284.0,4.95
三重県,45,2527.0,1.78
滋賀県,100,1896.0,5.27
京都府,358,8257.0,4.34
大阪府,1783,31646.0,5.63
兵庫県,699,11293.0,6.19
奈良県,92,2898.0,3.17
和歌山県,63,3733.0,1.69
鳥取県,3,1357.0,0.22
島根県,24,1138.0,2.11
岡山県,25,1731.0,1.44
広島県,167,7060.0,2.37
山口県,37,1782.0,2.08
徳島県,5,752.0,0.66
香川県,28,2225.0,1.26
愛媛県,82,2316.0,3.54
高知県,74,1812.0,4.08
福岡県,780,13239.0,5.89
佐賀県,47,1443.0,3.26
長崎県,17,2814.0,0.6
熊本県,48,3962.0,1.21
大分県,60,4081.0,1.47
宮崎県,17,1402.0,1.21
鹿児島県,10,1918.0,0.52
沖縄県,142,2880.0,4.93
