pref,Positive,Tested,Percent
北海道,2107,57520.0,3.66
青森県,36,2449.0,1.47
岩手県,23,4265.0,0.54
宮城県,406,10404.0,3.9
秋田県,53,2144.0,2.47
山形県,78,5169.0,1.51
福島県,253,20459.0,1.24
茨城県,659,12578.0,5.24
栃木県,432,30456.0,1.42
群馬県,706,22543.0,3.13
埼玉県,4685,144451.0,3.24
千葉県,3934,89202.0,4.41
東京都,25973,460907.0,5.64
神奈川県,6975,155100.0,4.5
新潟県,170,15512.0,1.1
富山県,419,12282.0,3.41
石川県,777,13092.0,5.93
福井県,244,9809.0,2.49
山梨県,190,10704.0,1.78
長野県,310,19045.0,1.63
岐阜県,627,22940.0,2.73
静岡県,548,34596.0,1.58
愛知県,5363,77400.0,6.93
三重県,509,12619.0,4.03
滋賀県,503,11937.0,4.21
京都府,1762,42808.0,4.12
大阪府,10669,186464.0,5.72
兵庫県,2717,56736.0,4.79
奈良県,574,20737.0,2.77
和歌山県,242,9310.0,2.6
鳥取県,36,5481.0,0.66
島根県,140,5792.0,2.42
岡山県,157,8110.0,1.94
広島県,577,20946.0,2.75
山口県,201,9864.0,2.04
徳島県,148,6921.0,2.14
香川県,93,10787.0,0.86
愛媛県,114,4087.0,2.79
高知県,138,3486.0,3.96
福岡県,5040,132965.0,3.79
佐賀県,245,6075.0,4.03
長崎県,236,18531.0,1.27
熊本県,578,16494.0,3.5
大分県,158,17019.0,0.93
宮崎県,344,8593.0,4.0
鹿児島県,422,19127.0,2.21
沖縄県,2516,39290.0,6.4
