pref,Positive,Tested,Percent
北海道,1552,33821.0,4.59
青森県,32,1549.0,2.07
岩手県,7,1907.0,0.37
宮城県,182,6782.0,2.68
秋田県,35,1201.0,2.91
山形県,76,2978.0,2.55
福島県,98,11053.0,0.89
茨城県,403,8181.0,4.93
栃木県,249,16745.0,1.49
群馬県,234,9293.0,2.52
埼玉県,2920,79080.0,3.69
千葉県,2205,32778.0,6.73
東京都,16064,221676.0,7.25
神奈川県,3305,42717.0,7.74
新潟県,128,7466.0,1.71
富山県,286,5841.0,4.9
石川県,376,3578.0,10.51
福井県,154,5588.0,2.76
山梨県,124,7778.0,1.59
⾧野県,132,9479.0,1.39
岐阜県,472,13573.0,3.48
静岡県,345,16211.0,2.13
愛知県,2675,29908.0,8.94
三重県,238,6002.0,3.97
滋賀県,298,5907.0,5.04
京都府,923,20966.0,4.4
大阪府,5892,92007.0,6.4
兵庫県,1636,32165.0,5.09
奈良県,336,15767.0,2.13
和歌山県,182,6999.0,2.6
鳥取県,21,4096.0,0.51
島根県,123,3225.0,3.81
岡山県,113,3533.0,3.2
広島県,410,14241.0,2.88
山口県,78,4528.0,1.72
徳島県,60,2919.0,2.06
香川県,60,5553.0,1.08
愛媛県,107,3257.0,3.29
高知県,83,2395.0,3.47
福岡県,3012,31278.0,9.63
佐賀県,157,3464.0,4.53
⾧崎県,167,9447.0,1.77
熊本県,357,8234.0,4.34
大分県,92,7959.0,1.16
宮崎県,234,5940.0,3.94
鹿児島県,277,12288.0,2.25
沖縄県,1179,15757.0,7.48
