pref,Positive,Tested,Percent
滋賀県,479,11256.0,4.26
京都府,1659,38110.0,4.35
大阪府,10166,171268.0,5.94
兵庫県,2602,53104.0,4.9
奈良県,556,19076.0,2.91
和歌山県,237,9039.0,2.62
鳥取県,36,5355.0,0.67
島根県,137,5313.0,2.58
岡山県,148,7861.0,1.88
広島県,479,19573.0,2.45
山口県,195,8960.0,2.18
徳島県,147,6786.0,2.17
香川県,93,10106.0,0.92
愛媛県,114,3973.0,2.87
高知県,137,3405.0,4.02
福岡県,5004,46615.0,10.73
佐賀県,244,5698.0,4.28
長崎県,236,17306.0,1.36
熊本県,571,16086.0,3.55
大分県,158,15655.0,1.01
宮崎県,344,8455.0,4.07
鹿児島県,377,17562.0,2.15
沖縄県,2364,36499.0,6.48
北海道,1975,53428.0,3.7
青森県,35,2282.0,1.53
岩手県,23,3860.0,0.6
宮城県,369,9794.0,3.77
秋田県,53,1964.0,2.7
山形県,78,5038.0,1.55
福島県,226,18477.0,1.22
茨城県,629,12026.0,5.23
栃木県,402,27987.0,1.44
群馬県,683,19079.0,3.58
埼玉県,4462,131459.0,3.39
千葉県,3669,75232.0,4.88
東京都,24394,411359.0,5.93
神奈川県,6441,138519.0,4.65
新潟県,165,14620.0,1.13
富山県,410,11364.0,3.61
石川県,760,11863.0,6.41
福井県,244,9514.0,2.56
山梨県,180,10263.0,1.75
長野県,303,17873.0,1.7
岐阜県,600,21255.0,2.82
静岡県,517,31367.0,1.65
愛知県,5122,69521.0,7.37
三重県,475,11898.0,3.99
