pref,Positive,Tested,Percent
滋賀県,18,379.0,4.75
京都府,139,1683.0,8.26
大阪府,482,1792.0,26.9
兵庫県,216,3151.0,6.85
奈良県,28,452.0,6.19
和歌山県,28,1702.0,1.65
鳥取県,0,249.0,0.0
島根県,0,170.0,0.0
岡山県,12,496.0,2.42
広島県,19,1380.0,1.38
山口県,13,455.0,2.86
徳島県,3,193.0,1.55
香川県,2,398.0,0.5
愛媛県,23,418.0,5.5
高知県,36,591.0,6.09
福岡県,136,2718.0,5.0
佐賀県,9,245.0,3.67
長崎県,9,709.0,1.27
熊本県,21,1461.0,1.44
大分県,32,1862.0,1.72
宮崎県,7,453.0,1.55
鹿児島県,3,449.0,0.67
沖縄県,27,521.0,5.18
北海道,198,2476.0,8.0
青森県,11,249.0,4.42
岩手県,0,104.0,0.0
宮城県,27,609.0,4.43
秋田県,11,443.0,2.48
山形県,19,527.0,3.61
福島県,24,346.0,6.94
茨城県,77,1927.0,4.0
栃木県,15,784.0,1.91
群馬県,29,1380.0,2.1
埼玉県,209,1776.0,11.77
千葉県,284,3069.0,9.25
東京都,1203,4757.0,25.29
神奈川県,279,1996.0,13.98
新潟県,34,1413.0,2.41
富山県,12,435.0,2.76
石川県,51,430.0,11.86
福井県,57,378.0,15.08
山梨県,19,828.0,2.29
長野県,14,762.0,1.84
岐阜県,51,988.0,5.16
静岡県,10,1221.0,0.82
愛知県,258,3295.0,7.83
三重県,13,781.0,1.66
