pref,Positive,Tested,Percent
滋賀県,444,8885.0,5.0
京都府,1401,29864.0,4.69
大阪府,8491,133113.0,6.38
兵庫県,2255,43874.0,5.14
奈良県,515,12972.0,3.97
和歌山県,230,8592.0,2.68
鳥取県,22,4535.0,0.49
島根県,137,4851.0,2.82
岡山県,145,5880.0,2.47
広島県,457,17447.0,2.62
山口県,164,6713.0,2.44
徳島県,128,5778.0,2.22
香川県,77,7898.0,0.97
愛媛県,114,3769.0,3.02
高知県,125,3036.0,4.12
福岡県,4488,40258.0,11.15
佐賀県,237,5035.0,4.71
長崎県,230,14346.0,1.6
熊本県,511,11236.0,4.55
大分県,145,12102.0,1.2
宮崎県,335,7943.0,4.22
鹿児島県,361,15116.0,2.39
沖縄県,2117,25614.0,8.27
北海道,1769,43478.0,4.07
青森県,35,1982.0,1.77
岩手県,19,2900.0,0.66
宮城県,203,7721.0,2.63
秋田県,49,1749.0,2.8
山形県,78,3100.0,2.52
福島県,158,14522.0,1.09
茨城県,544,10496.0,5.18
栃木県,303,22112.0,1.37
群馬県,437,14090.0,3.1
埼玉県,3904,104313.0,3.74
千葉県,3033,54796.0,5.54
東京都,20717,316316.0,6.55
神奈川県,4912,110988.0,4.43
新潟県,142,12621.0,1.13
富山県,385,7417.0,5.19
石川県,624,7933.0,7.87
福井県,211,7658.0,2.76
山梨県,172,9415.0,1.83
長野県,249,13898.0,1.79
岐阜県,555,17900.0,3.1
静岡県,478,24082.0,1.98
愛知県,4457,52636.0,8.47
三重県,365,9576.0,3.81
