pref,Positive,Tested,Percent
滋賀県,101,2285.0,4.42
京都府,365,9818.0,3.72
大阪府,1811,38699.0,4.68
兵庫県,704,14347.0,4.91
奈良県,92,3760.0,2.45
和歌山県,64,3938.0,1.63
鳥取県,3,1465.0,0.2
島根県,24,1228.0,1.95
岡山県,26,1891.0,1.37
広島県,168,7722.0,2.18
山口県,37,2187.0,1.69
徳島県,5,854.0,0.59
香川県,28,2583.0,1.08
愛媛県,82,2581.0,3.18
高知県,74,1946.0,3.8
福岡県,842,15796.0,5.33
佐賀県,47,1605.0,2.93
長崎県,17,3165.0,0.54
熊本県,49,4219.0,1.16
大分県,60,4748.0,1.26
宮崎県,17,1543.0,1.1
鹿児島県,11,2507.0,0.44
沖縄県,142,3004.0,4.73
北海道,1210,19687.0,6.15
青森県,27,959.0,2.82
岩手県,0,903.0,0.0
宮城県,91,3572.0,2.55
秋田県,16,986.0,1.62
山形県,69,2518.0,2.74
福島県,82,6415.0,1.28
茨城県,170,5209.0,3.26
栃木県,66,6574.0,1.0
群馬県,152,4764.0,3.19
埼玉県,1074,32451.0,3.31
千葉県,937,17597.0,5.32
東京都,5943,73753.0,8.06
神奈川県,1444,12278.0,11.76
新潟県,84,4842.0,1.73
富山県,227,3890.0,5.84
石川県,300,2881.0,10.41
福井県,122,3306.0,3.69
山梨県,72,5447.0,1.32
長野県,77,3188.0,2.42
岐阜県,156,4984.0,3.13
静岡県,80,7108.0,1.13
愛知県,523,12363.0,4.23
三重県,46,2816.0,1.63
