pref,Positive,Tested,Percent
滋賀県,98,1556.0,6.3
京都府,358,6285.0,5.7
大阪府,1765,18932.0,9.32
兵庫県,698,9800.0,7.12
奈良県,90,2383.0,3.78
和歌山県,63,3477.0,1.81
鳥取県,3,1223.0,0.25
島根県,24,967.0,2.48
岡山県,25,1483.0,1.69
広島県,165,6320.0,2.61
山口県,37,1598.0,2.32
徳島県,5,663.0,0.75
香川県,28,1935.0,1.45
愛媛県,70,1441.0,4.86
高知県,74,1650.0,4.48
福岡県,657,12301.0,5.34
佐賀県,46,1301.0,3.54
⾧崎県,17,2500.0,0.68
熊本県,48,3656.0,1.31
大分県,60,3644.0,1.65
宮崎県,17,1290.0,1.32
鹿児島県,10,1585.0,0.63
沖縄県,142,2643.0,5.37
北海道,989,9938.0,9.95
青森県,27,797.0,3.39
岩手県,0,465.0,0.0
宮城県,88,2475.0,3.56
秋田県,16,905.0,1.77
山形県,69,2541.0,2.72
福島県,81,2827.0,2.87
茨城県,168,4252.0,3.95
栃木県,58,2795.0,2.08
群馬県,147,3237.0,4.54
埼玉県,979,15348.0,6.38
千葉県,890,12272.0,7.25
東京都,5036,14010.0,35.95
神奈川県,1251,7931.0,15.77
新潟県,83,3710.0,2.24
富山県,224,2935.0,7.63
石川県,285,2448.0,11.64
福井県,122,2297.0,5.31
山梨県,57,3205.0,1.78
⾧野県,76,2324.0,3.27
岐阜県,150,3018.0,4.97
静岡県,73,3261.0,2.24
愛知県,503,8773.0,5.73
三重県,45,2264.0,1.99
