pref,Positive,Tested,Percent
滋賀県,8,259.0,3.09
京都府,79,,
大阪府,312,,
兵庫県,167,2610.0,6.4
奈良県,19,355.0,5.35
和歌山県,20,1531.0,1.31
鳥取県,0,201.0,0.0
島根県,0,152.0,0.0
岡山県,7,365.0,1.92
広島県,6,1023.0,0.59
山口県,6,328.0,1.83
徳島県,3,156.0,1.92
香川県,2,304.0,0.66
愛媛県,11,312.0,3.53
高知県,21,417.0,5.04
福岡県,62,1198.0,5.18
佐賀県,4,153.0,2.61
長崎県,5,429.0,1.17
熊本県,15,1036.0,1.45
大分県,30,1710.0,1.75
宮崎県,3,326.0,0.92
鹿児島県,3,308.0,0.97
沖縄県,9,399.0,2.26
北海道,185,2218.0,8.34
青森県,9,160.0,5.62
岩手県,0,73.0,0.0
宮城県,12,,
秋田県,7,321.0,2.18
山形県,1,275.0,0.36
福島県,8,238.0,3.36
茨城県,26,1266.0,2.05
栃木県,14,571.0,2.45
群馬県,20,542.0,3.69
埼玉県,113,1476.0,7.66
千葉県,181,712.0,25.42
東京都,690,3402.0,20.28
神奈川県,153,954.0,16.04
新潟県,31,1139.0,2.72
富山県,8,137.0,5.84
石川県,16,248.0,6.45
福井県,31,233.0,13.3
山梨県,9,579.0,1.55
長野県,9,596.0,1.51
岐阜県,22,806.0,2.73
静岡県,6,957.0,0.63
愛知県,186,3123.0,5.96
三重県,12,507.0,2.37
