pref,Positive,Tested,Percent
北海道,1102,14931.0,7.38
青森県,27,875.0,3.09
岩手県,0,699.0,0.0
宮城県,88,3012.0,2.92
秋田県,16,940.0,1.7
山形県,69,2422.0,2.85
福島県,81,4765.0,1.7
茨城県,168,4746.0,3.54
栃木県,66,4438.0,1.49
群馬県,149,3796.0,3.93
埼玉県,1005,22634.0,4.44
千葉県,907,15076.0,6.02
東京都,5323,15498.0,34.35
神奈川県,1381,10210.0,13.53
新潟県,83,4291.0,1.93
富山県,227,3454.0,6.57
石川県,298,2758.0,10.8
福井県,122,2756.0,4.43
山梨県,65,4202.0,1.55
長野県,76,2801.0,2.71
岐阜県,151,3766.0,4.01
静岡県,76,3566.0,2.13
愛知県,509,10284.0,4.95
三重県,45,2552.0,1.76
滋賀県,100,1911.0,5.23
京都府,358,8354.0,4.29
大阪府,1783,32063.0,5.56
兵庫県,699,11368.0,6.15
奈良県,92,2898.0,3.17
和歌山県,63,3743.0,1.68
鳥取県,3,1363.0,0.22
島根県,24,1142.0,2.1
岡山県,25,1738.0,1.44
広島県,167,7104.0,2.35
山口県,37,1794.0,2.06
徳島県,5,761.0,0.66
香川県,28,2245.0,1.25
愛媛県,82,2373.0,3.46
高知県,74,1818.0,4.07
福岡県,786,13523.0,5.81
佐賀県,47,1449.0,3.24
長崎県,17,2844.0,0.6
熊本県,48,3974.0,1.21
大分県,60,4127.0,1.45
宮崎県,17,1407.0,1.21
鹿児島県,10,1964.0,0.51
沖縄県,142,2895.0,4.91
