pref,Positive,Tested,Percent
滋賀県,464,9952.0,4.66
京都府,1575,34050.0,4.63
大阪府,9088,147096.0,6.18
兵庫県,2354,47189.0,4.99
奈良県,538,15262.0,3.53
和歌山県,234,8787.0,2.66
鳥取県,22,4588.0,0.48
島根県,137,5010.0,2.73
岡山県,146,7049.0,2.07
広島県,459,18346.0,2.5
山口県,184,7288.0,2.52
徳島県,145,6371.0,2.28
香川県,84,8794.0,0.96
愛媛県,114,3881.0,2.94
高知県,132,3229.0,4.09
福岡県,4817,43120.0,11.17
佐賀県,241,5272.0,4.57
⾧崎県,234,15530.0,1.51
熊本県,547,12352.0,4.43
大分県,157,13543.0,1.16
宮崎県,339,8190.0,4.14
鹿児島県,371,16697.0,2.22
沖縄県,2229,29703.0,7.5
北海道,1828,47213.0,3.87
青森県,35,2126.0,1.65
岩手県,23,3439.0,0.67
宮城県,242,8308.0,2.91
秋田県,50,1834.0,2.73
山形県,78,3130.0,2.49
福島県,179,15917.0,1.12
茨城県,583,11303.0,5.16
栃木県,314,24277.0,1.29
群馬県,492,15694.0,3.13
埼玉県,4136,115297.0,3.59
千葉県,3225,60171.0,5.36
東京都,21849,355758.0,6.14
神奈川県,5460,123815.0,4.41
新潟県,145,13350.0,1.09
富山県,402,9947.0,4.04
石川県,708,9509.0,7.45
福井県,243,8887.0,2.73
山梨県,176,9815.0,1.79
⾧野県,290,16285.0,1.78
岐阜県,564,18884.0,2.99
静岡県,494,27475.0,1.8
愛知県,4698,58530.0,8.03
三重県,424,10641.0,3.98
