pref,Positive,Tested,Percent
滋賀県,153,3968.0,3.86
京都府,586,14909.0,3.93
大阪府,2915,60635.0,4.81
兵庫県,965,23180.0,4.16
奈良県,205,7978.0,2.57
和歌山県,122,5662.0,2.15
鳥取県,6,2286.0,0.26
島根県,28,2253.0,1.24
岡山県,61,2618.0,2.33
広島県,257,10572.0,2.43
山口県,49,3563.0,1.38
徳島県,12,1524.0,0.79
香川県,45,4243.0,1.06
愛媛県,85,2820.0,3.01
高知県,79,2184.0,3.62
福岡県,1342,21520.0,6.24
佐賀県,67,2140.0,3.13
長崎県,52,5764.0,0.9
熊本県,72,4607.0,1.56
大分県,60,6023.0,1.0
宮崎県,62,1868.0,3.32
鹿児島県,211,9513.0,2.22
沖縄県,186,6226.0,2.99
北海道,1386,26866.0,5.16
青森県,31,1317.0,2.35
岩手県,0,1290.0,0.0
宮城県,140,5557.0,2.52
秋田県,18,1054.0,1.71
山形県,75,2856.0,2.63
福島県,86,9081.0,0.95
茨城県,242,6442.0,3.76
栃木県,159,12070.0,1.32
群馬県,179,7371.0,2.43
埼玉県,2068,56624.0,3.65
千葉県,1475,26147.0,5.64
東京都,11214,156867.0,7.15
神奈川県,2239,16219.0,13.8
新潟県,92,5858.0,1.57
富山県,235,4874.0,4.82
石川県,313,3149.0,9.94
福井県,129,4583.0,2.81
山梨県,85,6805.0,1.25
長野県,92,5737.0,1.6
岐阜県,231,8749.0,2.64
静岡県,119,10472.0,1.14
愛知県,1010,16828.0,6.0
三重県,65,3633.0,1.79
