pref,Positive,Tested,Percent
北海道,2933,78717.0,3.73
青森県,206,4462.0,4.62
岩手県,27,5235.0,0.52
宮城県,655,13437.0,4.87
秋田県,61,2481.0,2.46
山形県,86,5995.0,1.43
福島県,387,28254.0,1.37
茨城県,750,13751.0,5.45
栃木県,482,41671.0,1.16
群馬県,884,28548.0,3.1
埼玉県,5726,180341.0,3.18
千葉県,4920,122293.0,4.02
東京都,30456,585729.0,5.2
神奈川県,8517,195864.0,4.35
新潟県,182,17566.0,1.04
富山県,422,14431.0,2.92
石川県,803,16704.0,4.81
福井県,256,10979.0,2.33
山梨県,209,11514.0,1.82
長野県,335,22681.0,1.48
岐阜県,672,26569.0,2.53
静岡県,620,42132.0,1.47
愛知県,5941,96089.0,6.18
三重県,555,15456.0,3.59
滋賀県,546,13962.0,3.91
京都府,1989,51757.0,3.84
大阪府,12348,230194.0,5.36
兵庫県,3157,67302.0,4.69
奈良県,631,24388.0,2.59
和歌山県,273,10349.0,2.64
鳥取県,38,5729.0,0.66
島根県,141,6189.0,2.28
岡山県,230,10217.0,2.25
広島県,657,27197.0,2.42
山口県,213,11826.0,1.8
徳島県,164,7432.0,2.21
香川県,101,13321.0,0.76
愛媛県,116,4337.0,2.67
高知県,144,3621.0,3.98
福岡県,5194,161242.0,3.22
佐賀県,254,7005.0,3.63
長崎県,244,22048.0,1.11
熊本県,779,19151.0,4.07
大分県,159,20506.0,0.78
宮崎県,367,8772.0,4.18
鹿児島県,463,22011.0,2.1
沖縄県,3245,56121.0,5.78
