pref,Positive,Tested,Percent
北海道,1176,17875.0,6.58
青森県,27,922.0,2.93
岩手県,0,799.0,0.0
宮城県,88,3333.0,2.64
秋田県,16,968.0,1.65
山形県,69,2482.0,2.78
福島県,81,5699.0,1.42
茨城県,168,5053.0,3.32
栃木県,66,5523.0,1.2
群馬県,151,4420.0,3.42
埼玉県,1022,28059.0,3.64
千葉県,919,16716.0,5.5
東京都,5619,16351.0,34.36
神奈川県,1413,11489.0,12.3
新潟県,83,4627.0,1.79
富山県,227,3722.0,6.1
石川県,299,2847.0,10.5
福井県,122,3062.0,3.98
山梨県,71,4968.0,1.43
長野県,76,3026.0,2.51
岐阜県,154,4317.0,3.57
静岡県,78,3698.0,2.11
愛知県,516,11375.0,4.54
三重県,45,2668.0,1.69
滋賀県,100,2099.0,4.76
京都府,360,9200.0,3.91
大阪府,1787,35807.0,4.99
兵庫県,699,11974.0,5.84
奈良県,92,3240.0,2.84
和歌山県,63,3859.0,1.63
鳥取県,3,1429.0,0.21
島根県,24,1202.0,2.0
岡山県,25,1836.0,1.36
広島県,168,7484.0,2.24
山口県,37,1965.0,1.88
徳島県,5,827.0,0.6
香川県,28,2386.0,1.17
愛媛県,82,2532.0,3.24
高知県,74,1893.0,3.91
福岡県,826,15045.0,5.49
佐賀県,47,1568.0,3.0
長崎県,17,3044.0,0.56
熊本県,48,4130.0,1.16
大分県,60,4462.0,1.34
宮崎県,17,1487.0,1.14
鹿児島県,11,2305.0,0.48
沖縄県,142,2966.0,4.79
