pref,Positive,Tested,Percent
滋賀県,97,1529.0,6.34
京都府,357,6032.0,5.92
大阪府,1765,18416.0,9.58
兵庫県,697,9653.0,7.22
奈良県,90,2383.0,3.78
和歌山県,63,3450.0,1.83
鳥取県,3,1213.0,0.25
島根県,24,957.0,2.51
岡山県,25,1466.0,1.71
広島県,165,6250.0,2.64
山口県,37,1585.0,2.33
徳島県,5,635.0,0.79
香川県,28,1907.0,1.47
愛媛県,68,1393.0,4.88
高知県,74,1624.0,4.56
福岡県,657,12119.0,5.42
佐賀県,46,1285.0,3.58
長崎県,17,2477.0,0.69
熊本県,48,3623.0,1.32
大分県,60,3590.0,1.67
宮崎県,17,1278.0,1.33
鹿児島県,10,1536.0,0.65
沖縄県,142,2643.0,5.37
北海道,983,9690.0,10.14
青森県,27,784.0,3.44
岩手県,0,457.0,0.0
宮城県,88,2428.0,3.62
秋田県,16,899.0,1.78
山形県,69,2525.0,2.73
福島県,81,2802.0,2.89
茨城県,168,4145.0,4.05
栃木県,57,2642.0,2.16
群馬県,147,3188.0,4.61
埼玉県,977,14908.0,6.55
千葉県,888,11966.0,7.42
東京都,5027,13799.0,36.43
神奈川県,1236,2604.0,47.47
新潟県,82,3605.0,2.27
富山県,224,2915.0,7.68
石川県,284,2426.0,11.71
福井県,122,2207.0,5.53
山梨県,57,3162.0,1.8
長野県,76,2285.0,3.33
岐阜県,150,2990.0,5.02
静岡県,73,3237.0,2.26
愛知県,501,8773.0,5.71
三重県,45,2219.0,2.03
