pref,Positive,Tested,Percent
滋賀県,683,14966.0,4.56
京都府,2307,57951.0,3.98
大阪府,15763,276172.0,5.71
兵庫県,4014,78781.0,5.1
奈良県,868,28401.0,3.06
和歌山県,338,11510.0,2.94
鳥取県,52,6151.0,0.85
島根県,142,6354.0,2.23
岡山県,406,14762.0,2.75
広島県,707,30626.0,2.31
山口県,279,12510.0,2.23
徳島県,173,7669.0,2.26
香川県,121,15287.0,0.79
愛媛県,138,4759.0,2.9
高知県,144,3690.0,3.9
福岡県,5398,182317.0,2.96
佐賀県,280,8235.0,3.4
⾧崎県,251,24833.0,1.01
熊本県,930,22303.0,4.17
大分県,179,23484.0,0.76
宮崎県,375,8836.0,4.24
鹿児島県,558,25010.0,2.23
沖縄県,3792,64776.0,5.85
北海道,5683,110887.0,5.13
青森県,280,6221.0,4.5
岩手県,77,6659.0,1.16
宮城県,995,16563.0,6.01
秋田県,74,2878.0,2.57
山形県,98,7046.0,1.39
福島県,441,35697.0,1.24
茨城県,1032,15108.0,6.83
栃木県,523,48723.0,1.07
群馬県,964,33217.0,2.9
埼玉県,6996,209032.0,3.35
千葉県,5937,147396.0,4.03
東京都,35229,679943.0,5.18
神奈川県,10349,226157.0,4.58
新潟県,259,20160.0,1.28
富山県,429,15581.0,2.75
石川県,830,19897.0,4.17
福井県,278,12567.0,2.21
山梨県,288,12697.0,2.27
⾧野県,495,26580.0,1.86
岐阜県,836,30009.0,2.79
静岡県,909,49650.0,1.83
愛知県,7764,118189.0,6.57
三重県,628,17127.0,3.67
