pref,Positive,Tested,Percent
北海道,2229,60894.0,3.66
青森県,37,2551.0,1.45
岩手県,24,4461.0,0.54
宮城県,441,11052.0,3.99
秋田県,58,2296.0,2.53
山形県,78,5236.0,1.49
福島県,279,21710.0,1.29
茨城県,693,12738.0,5.44
栃木県,443,32634.0,1.36
群馬県,735,23865.0,3.08
埼玉県,4879,150073.0,3.25
千葉県,4154,100478.0,4.13
東京都,26869,489967.0,5.48
神奈川県,7266,163313.0,4.45
新潟県,171,15966.0,1.07
富山県,422,12961.0,3.26
石川県,778,13948.0,5.58
福井県,247,9952.0,2.48
山梨県,196,10900.0,1.8
長野県,316,19797.0,1.6
岐阜県,631,23733.0,2.66
静岡県,564,36658.0,1.54
愛知県,5463,81271.0,6.72
三重県,532,13597.0,3.91
滋賀県,508,12499.0,4.06
京都府,1796,44728.0,4.02
大阪府,10950,195213.0,5.61
兵庫県,2822,59199.0,4.77
奈良県,583,21662.0,2.69
和歌山県,242,9473.0,2.55
鳥取県,36,5510.0,0.65
島根県,140,5875.0,2.38
岡山県,161,8654.0,1.86
広島県,612,21623.0,2.83
山口県,206,10250.0,2.01
徳島県,149,7041.0,2.12
香川県,93,11253.0,0.83
愛媛県,115,4157.0,2.77
高知県,138,3519.0,3.92
福岡県,5061,139681.0,3.62
佐賀県,248,6231.0,3.98
長崎県,238,19379.0,1.23
熊本県,642,17067.0,3.76
大分県,158,17693.0,0.89
宮崎県,344,8649.0,3.98
鹿児島県,440,19852.0,2.22
沖縄県,2656,42120.0,6.31
