pref,Positive,Tested,Percent
滋賀県,620,14897.0,4.16
京都府,2166,55036.0,3.94
大阪府,13894,253794.0,5.47
兵庫県,3518,73008.0,4.82
奈良県,745,26032.0,2.86
和歌山県,289,10716.0,2.7
鳥取県,50,5944.0,0.84
島根県,141,6281.0,2.24
岡山県,340,11198.0,3.04
広島県,678,28891.0,2.35
山口県,225,11960.0,1.88
徳島県,168,7592.0,2.21
香川県,107,14223.0,0.75
愛媛県,117,4456.0,2.63
高知県,144,3680.0,3.91
福岡県,5284,172436.0,3.06
佐賀県,274,7708.0,3.55
⾧崎県,249,23623.0,1.05
熊本県,854,20847.0,4.1
大分県,161,21941.0,0.73
宮崎県,373,8822.0,4.23
鹿児島県,537,23874.0,2.25
沖縄県,3536,61923.0,5.71
北海道,4021,92885.0,4.33
青森県,274,5924.0,4.63
岩手県,30,5719.0,0.52
宮城県,865,15288.0,5.66
秋田県,67,2659.0,2.52
山形県,88,6810.0,1.29
福島県,418,32623.0,1.28
茨城県,825,14334.0,5.76
栃木県,499,45819.0,1.09
群馬県,927,30692.0,3.02
埼玉県,6296,196518.0,3.2
千葉県,5386,136592.0,3.94
東京都,32767,635524.0,5.16
神奈川県,9375,213692.0,4.39
新潟県,198,18433.0,1.07
富山県,424,15138.0,2.8
石川県,823,18574.0,4.43
福井県,262,11268.0,2.33
山梨県,241,12077.0,2.0
⾧野県,384,24461.0,1.57
岐阜県,742,27985.0,2.65
静岡県,756,45801.0,1.65
愛知県,6812,106996.0,6.37
三重県,597,16342.0,3.65
