pref,Positive,Tested,Percent
滋賀県,72,776.0,9.28
京都府,259,2811.0,9.21
大阪府,1297,4938.0,26.27
兵庫県,524,5610.0,9.34
奈良県,64,919.0,6.96
和歌山県,46,2339.0,1.97
鳥取県,3,711.0,0.42
島根県,16,681.0,2.35
岡山県,19,930.0,2.04
広島県,137,3010.0,4.55
山口県,30,1119.0,2.68
徳島県,3,336.0,0.89
香川県,26,967.0,2.69
愛媛県,46,844.0,5.45
高知県,69,1167.0,5.91
福岡県,524,7263.0,7.21
佐賀県,17,587.0,2.9
長崎県,18,1461.0,1.23
熊本県,40,2350.0,1.7
大分県,55,2657.0,2.07
宮崎県,17,925.0,1.84
鹿児島県,10,841.0,1.19
沖縄県,121,1292.0,9.37
北海道,451,4245.0,10.62
青森県,22,474.0,4.64
岩手県,0,236.0,0.0
宮城県,84,1369.0,6.14
秋田県,16,736.0,2.17
山形県,64,1597.0,4.01
福島県,64,1131.0,5.66
茨城県,143,3343.0,4.28
栃木県,49,1481.0,3.31
群馬県,124,2103.0,5.9
埼玉県,662,4732.0,13.99
千葉県,683,3803.0,17.96
東京都,3197,8198.0,39.0
神奈川県,802,3912.0,20.5
新潟県,56,2107.0,2.66
富山県,114,1454.0,7.84
石川県,180,1115.0,16.14
福井県,113,1054.0,10.72
山梨県,49,1653.0,2.96
長野県,52,1401.0,3.71
岐阜県,139,2119.0,6.56
静岡県,52,2089.0,2.49
愛知県,406,5535.0,7.34
三重県,39,1397.0,2.79
